# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/D - 08(fld 12 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,1766,28,798
0,1714,48,1216
0,1815,75,210
0,1689,114,648
0,1808,125,225
0,1710,140,340
0,1749,149,682
0,1782,155,240
2,1369,56,324
2,1290,72,1376
2,1393,72,266
2,1368,103,1520
2,1457,104,1292
2,1293,109,1176
2,1334,156,2940
2,1440,135,323
2,1370,157,204
3,674,105,3367
3,730,141,195
3,689,146,442
3,579,163,252
3,699,221,500
3,590,231,2183
4,1516,176,550
4,1539,189,220
4,1643,249,450
5,578,162,285
5,585,233,682
5,479,254,420
5,546,277,399
5,580,274,182
5,488,294,660
5,523,297,210
7,907,225,625
7,898,269,2397
8,1883,325,384
9,1406,265,340
9,1466,311,336
10,357,301,494
10,324,325,520
10,285,326,440
10,367,336,450
11,1120,224,288
11,1102,248,840
11,1156,243,330
11,1074,279,696
11,1142,276,286
11,1166,281,192
11,1213,293,144
11,1196,311,306
11,1199,332,288
12,1680,244,14000
12,1552,270,750
12,1748,320,9204
12,1657,382,2419
12,1730,397,396
12,1702,406,952
12,1586,402,342
12,1603,424,525
13,627,274,696
13,545,277,323
13,580,274,182
13,523,298,400
13,632,309,276
13,529,338,756
13,646,351,572
13,549,367,322
14,488,294,660
14,365,333,1209
14,482,343,234
14,420,372,660
15,1467,311,300
15,1534,320,870
15,1554,380,182
16,1355,412,2254
17,342,357,143
17,329,443,154
18,65,366,255
18,43,371,342
18,100,370,308
18,137,391,154
18,141,417,440
18,30,414,285
18,49,454,484
18,73,473,168
19,1880,431,483
19,1900,458,240
22,167,456,255
24,277,515,228
25,1388,557,624
25,1431,625,486
26,606,511,342
26,525,543,364
26,609,590,357
26,565,631,748
26,507,631,252
26,594,660,272
27,1730,397,300
27,1702,406,952
27,1880,431,483
27,2018,445,336
27,1900,458,240
27,1962,591,945
28,751,484,204
28,773,537,756
28,762,563,490
28,809,626,525
29,647,478,1786
29,606,511,323
29,703,555,600
29,637,580,416
29,609,590,357
29,713,606,1638
29,595,659,196
30,191,555,11592
30,278,515,204
30,207,588,352
30,202,641,180
30,150,651,483
30,206,667,320
30,154,684,961
30,255,686,690
30,218,697,270
30,218,711,750
30,176,718,247
31,1196,311,306
31,1199,332,288
32,1603,424,646
32,1390,557,304
32,1431,625,486
33,1817,720,640
33,1743,790,437
33,1709,849,750
34,1038,747,312
34,1016,764,252
36,816,706,165
36,778,739,165
36,771,775,1189
36,842,826,550
38,1574,815,999
38,1477,833,558
38,1638,858,4704
38,1709,849,725
38,1695,882,875
38,1524,890,156
38,1641,909,220
38,1487,924,420
38,1720,924,224
38,1421,931,792
38,1475,959,480
39,1387,557,650
39,1431,625,486
39,1477,833,558
39,1422,931,2166
39,1487,924,440
39,1475,959,450
40,545,404,1683
40,647,477,2226
40,751,484,204
40,606,511,342
40,773,537,756
40,525,543,364
40,472,547,273
40,704,554,650
40,762,563,490
40,637,580,429
40,609,590,357
40,713,606,1638
40,809,626,525
40,565,630,693
40,507,631,234
40,594,660,272
40,655,748,26720
40,816,706,165
40,778,739,165
40,771,775,1189
40,533,773,323
40,842,826,550
40,727,867,7540
40,501,876,837
40,813,919,403
42,190,414,576
42,443,427,299
42,329,443,154
42,396,513,20904
42,277,515,228
42,215,540,4408
42,472,547,286
42,207,587,374
42,312,630,1634
42,201,641,225
42,451,658,608
42,205,667,420
42,254,687,800
42,217,705,1560
42,272,759,7917
42,423,761,3224
42,332,744,200
42,195,879,299
42,405,926,8667
42,245,946,5621
43,1016,764,252
43,1009,796,324
43,1010,832,180
43,1004,863,323
44,1038,747,312
44,1016,764,252
44,1009,796,324
44,1010,832,180
44,889,862,1295
44,1004,863,323
44,1061,1029,1105
44,1187,1030,1482
45,1709,850,696
45,1695,882,875
45,1744,886,255
45,1720,922,546
45,1741,932,168
47,812,919,680
47,782,941,728
48,437,914,945
48,423,949,360
48,633,978,851
48,580,1043,1960
48,492,1060,7296
49,245,946,5621
49,251,1045,475
50,1524,890,156
50,1421,930,1836
50,1487,924,420
50,1474,959,435
50,1405,971,289
50,1491,1022,972
50,1457,1015,323
50,1514,1060,154
50,1398,1073,299
50,1510,1073,165
51,306,1056,165
51,352,1069,361
51,333,1076,204
51,348,1126,160
52,1695,882,875
52,1744,886,255
52,1524,890,156
52,1720,922,572
52,1487,923,289
52,1741,932,168
52,1597,1062,12012
