# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/C - 10(fld 11 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,1831,256,1120
0,1741,306,240
0,1852,358,390
0,1754,405,980
0,1774,452,630
1,1223,362,448
1,1410,360,340
1,1267,476,1000
1,1257,514,600
1,1130,525,336
1,1352,526,450
1,1140,556,342
2,912,250,408
2,926,303,1044
2,784,360,828
2,679,414,525
2,543,453,255
2,770,530,510
2,795,526,700
2,814,551,304
2,760,554,247
2,788,560,624
2,863,568,399
2,502,606,391
2,541,755,440
2,438,758,192
3,438,758,192
3,454,809,2552
3,411,837,891
4,815,796,391
4,766,815,312
4,761,852,777
4,734,863,342
4,774,882,868
5,1058,711,473
5,1153,733,629
5,1233,758,756
5,1074,799,884
5,1204,794,663
5,1470,846,340
5,1445,852,352
5,1309,873,1120
7,529,967,980
8,1240,905,525
8,1216,961,624
8,1397,1036,368
8,1358,1092,348
8,1355,1116,416
8,1378,1123,320
9,912,1030,342
9,993,1087,285
10,780,1029,391
10,771,1051,884
10,729,1091,414
10,701,1105,726
10,769,1127,391
10,662,1303,357
11,993,1087,285
11,1044,1144,380
11,957,1157,1560
11,1112,1202,1260
11,1137,1209,529
11,944,1229,572
11,1078,1231,598
11,1109,1230,323
11,1042,1263,6264
11,1073,1279,756
12,923,1087,550
12,729,1091,414
12,818,1095,792
12,701,1105,726
12,926,1118,384
12,769,1127,391
12,885,1153,399
12,859,1156,378
12,848,1211,572
12,871,1210,228
12,925,1250,336
12,899,1261,930
12,841,1277,567
13,1112,1202,1260
13,1137,1209,529
13,1221,1234,338
13,1278,1343,456
14,1047,1337,304
14,1099,1424,448
14,1140,1426,510
15,877,1311,990
15,866,1466,450
15,821,1549,722
15,689,1646,390
15,609,1651,266
15,641,1657,195
15,595,1713,180
16,1559,1548,273
16,1624,1550,330
16,1680,1637,380
16,1521,1642,240
16,1640,1712,588
17,1094,1572,2256
