# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/E - 04(fld 08 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,838,160,920
0,793,159,629
0,807,196,620
0,811,252,1976
0,780,250,210
0,821,283,360
0,826,313,700
0,885,336,480
0,789,354,868
0,855,360,272
0,910,362,440
1,1167,94,304
1,1314,98,231
1,1191,118,1591
1,1023,106,156
1,1059,114,306
1,994,149,3835
1,1226,136,696
1,1078,133,280
1,1113,154,1462
1,1044,164,640
1,1184,176,930
1,1132,209,3762
1,1188,208,966
1,1040,264,11526
1,1009,242,837
1,1274,244,540
1,1233,275,512
1,960,290,1620
1,1179,284,1488
1,1123,289,528
1,1279,309,868
1,1190,311,663
1,1071,347,3927
1,1215,333,315
1,1234,361,3816
1,957,341,323
1,979,369,180
1,1191,365,231
1,937,379,240
1,1264,388,2142
1,1078,389,300
1,952,398,425
1,969,420,532
1,941,428,720
1,1027,422,208
1,1261,434,289
1,954,449,160
2,1044,337,289
2,957,341,340
2,979,369,180
2,937,379,256
2,952,398,425
3,923,411,252
3,941,427,768
3,968,420,513
3,1026,422,195
3,963,453,1404
3,889,447,414
3,835,451,300
3,858,463,231
3,924,479,1968
3,996,487,304
3,875,486,156
3,971,507,726
3,846,512,1305
3,1005,521,957
3,802,520,312
5,841,483,195
5,875,486,156
5,846,512,1305
5,802,520,312
5,810,578,1178
6,996,487,238
6,988,516,2747
6,846,512,1305
6,802,520,312
6,999,561,1269
6,810,578,1216
6,967,571,192
6,1050,574,630
6,1019,585,221
6,985,592,1056
6,1080,584,245
6,1156,598,391
6,1050,609,494
6,1019,625,544
6,1197,656,8804
6,954,632,221
6,1034,641,312
6,988,656,2173
6,1100,657,2184
6,712,671,2475
6,794,693,6750
6,891,681,1350
6,1068,686,1155
6,1024,681,375
6,642,699,312
6,918,701,300
6,630,713,589
6,1023,724,380
6,1144,730,360
6,1110,731,374
6,1079,730,312
6,806,744,1435
6,705,739,513
6,677,741,238
6,1187,742,555
6,959,754,252
6,1084,761,224
6,671,774,1536
6,1176,767,368
6,812,792,528
6,913,798,168
6,1165,813,1368
7,1618,636,361
7,1470,653,210
7,1605,725,18392
7,1513,666,600
7,1709,671,368
7,1379,672,187
7,1424,694,480
7,1702,701,288
7,1438,717,1350
7,1723,714,198
7,1768,743,2205
7,1482,784,16159
7,1376,741,480
7,1661,759,306
7,1791,805,399
7,1728,830,3792
7,1645,836,3304
7,1551,834,792
7,1558,879,4697
7,1741,874,2040
7,1692,882,195
7,1467,923,3050
7,1527,913,975
7,1587,930,480
7,1792,935,204
7,1422,940,340
8,1125,976,1392
8,1456,976,176
8,1403,988,888
8,1163,983,312
8,1302,995,1288
8,1245,994,238
8,1196,1006,2112
8,1101,1002,814
8,1271,1010,620
8,1091,1021,588
8,1471,1049,6864
8,1282,1031,588
8,1340,1026,275
8,1212,1052,4020
8,1108,1072,9702
8,1554,1049,3286
8,1305,1061,210
8,1338,1083,336
8,1445,1095,493
8,1372,1090,357
8,1328,1113,1815
8,1235,1132,3835
8,1321,1151,6210
8,1166,1132,480
8,1142,1135,304
8,1049,1138,192
8,1537,1151,1100
8,1086,1156,342
8,1119,1183,5335
8,1064,1171,440
8,1227,1196,1855
8,1186,1183,450
8,1455,1195,240
8,1481,1231,5133
8,1100,1229,360
8,1185,1236,1705
8,1241,1257,3886
8,1074,1247,1054
8,1575,1243,247
8,1592,1253,247
8,1174,1279,2295
8,1128,1271,418
8,1216,1281,575
8,1587,1295,408
8,1354,1307,729
8,1143,1371,18176
8,1282,1325,1395
8,1206,1338,1271
8,1244,1376,738
8,1297,1380,312
8,1313,1395,231
8,1402,1410,240
8,1384,1426,228
8,1087,1442,209
8,1310,1481,10875
8,1248,1471,1026
8,1331,1502,228
8,1223,1507,240
8,1232,1527,180
8,1311,1528,430
9,658,1098,360
10,1840,1090,260
10,1653,1139,765
10,1806,1144,273
10,1689,1158,504
10,1803,1168,874
10,1702,1196,1632
10,1655,1231,2275
10,1621,1234,1435
10,1593,1254,216
10,1598,1302,2040
10,1663,1288,192
10,1639,1300,228
11,780,1233,513
11,747,1244,240
11,796,1275,4225
11,725,1256,442
11,713,1282,725
11,767,1300,308
11,786,1310,378
11,756,1321,962
11,840,1317,156
11,825,1342,589
11,731,1348,1176
11,771,1351,560
11,797,1359,165
11,713,1377,238
12,620,1566,252
12,666,1575,736
12,792,1597,486
12,641,1602,476
12,864,1612,513
12,939,1626,868
12,775,1634,1518
12,995,1631,840
12,962,1631,360
12,697,1658,884
12,951,1653,300
12,964,1681,2009
12,890,1672,437
12,775,1679,858
12,612,1686,1342
12,820,1719,3950
12,920,1693,414
12,881,1713,299
12,737,1721,228
12,951,1753,1530
12,896,1769,1116
12,792,1784,198
12,952,1809,920
12,741,1809,208
12,805,1837,5670
12,709,1820,342
12,627,1830,608
12,906,1845,1131
12,667,1863,780
12,845,1878,2574
12,614,1879,684
