# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/B - 10(fld 02 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,412,74,340
0,432,85,320
0,468,92,180
0,401,110,1287
0,370,107,315
0,396,142,360
0,370,152,448
0,418,178,754
1,370,108,352
1,258,151,572
1,345,150,432
1,370,152,464
3,906,223,7704
3,789,261,240
3,805,282,456
3,878,302,195
3,857,317,520
5,1120,226,4420
5,1040,270,414
5,1158,288,1044
5,1034,291,224
5,1072,308,480
5,1139,309,135
5,1028,320,256
5,1123,346,342
5,1037,356,500
5,1081,398,5865
5,986,373,168
5,993,391,255
5,984,412,580
7,1139,309,135
7,1304,361,5928
7,1218,352,192
7,1250,412,154
7,1265,416,240
7,1204,442,896
7,1254,436,494
7,1254,460,198
11,418,380,144
11,438,383,357
11,465,419,156
12,1037,356,500
12,979,405,3744
12,944,391,224
12,876,411,600
12,915,418,342
12,903,459,156
12,984,493,1600
12,939,506,580
13,522,442,360
14,1163,544,7760
14,1245,515,324
14,1269,542,300
15,391,625,168
16,653,737,5775
16,728,794,2706
16,875,785,396
16,676,823,1188
16,802,867,4620
16,696,888,8755
16,613,884,2679
16,754,897,513
16,595,926,198
16,780,935,672
16,593,947,696
16,687,1004,7623
16,641,971,336
16,785,1001,832
16,629,997,224
16,744,1018,182
16,772,1021,308
16,812,1031,247
16,605,1069,1058
16,595,1123,957
16,621,1136,238
17,573,702,324
18,255,705,256
18,272,709,255
18,273,729,154
18,275,770,702
18,354,766,256
19,1448,685,280
19,1482,706,288
19,1516,726,1443
19,1415,718,304
19,1485,756,660
19,1525,766,550
19,1393,778,266
19,1481,783,648
19,1496,825,1462
19,1411,829,234
19,1445,836,625
20,97,780,140
20,149,784,160
20,203,787,228
20,168,786,153
20,134,809,925
20,191,807,504
20,162,809,520
20,96,818,252
20,167,830,240
20,144,846,600
21,653,737,5775
21,581,794,816
21,736,801,1225
21,676,807,460
21,676,835,450
21,585,843,256
21,613,885,825
21,753,897,340
22,875,785,396
22,802,867,4757
23,275,774,1131
23,354,766,256
23,381,777,306
23,301,795,240
23,397,805,156
23,301,812,285
23,494,844,3825
23,306,828,132
23,417,834,256
23,366,847,252
23,389,878,272
23,325,888,1008
23,520,919,208
24,1579,798,456
24,1601,885,350
24,1607,906,1152
24,1563,908,208
25,1515,898,540
25,1563,908,208
25,1465,941,378
25,1568,942,165
25,1525,952,168
25,1509,956,234
25,1489,987,170
25,1535,993,396
25,1482,1022,1558
25,1446,1035,143
25,1456,1069,672
26,240,860,8554
26,306,828,132
26,416,834,240
26,366,846,231
26,389,878,272
26,325,888,1008
26,401,920,3315
26,198,944,330
26,235,962,272
26,210,991,494
26,247,988,266
26,409,993,182
26,252,1007,336
26,355,1006,209
26,331,1044,280
26,208,1040,154
26,230,1050,306
26,365,1075,391
26,392,1071,315
26,416,1083,156
26,379,1089,171
26,410,1099,936
26,356,1113,756
27,802,867,4620
27,699,903,1554
27,754,897,513
27,780,935,672
27,694,1009,3010
27,785,1001,832
27,744,1018,182
27,772,1021,308
27,812,1031,247
27,749,1048,154
28,198,944,432
28,145,966,425
28,235,962,272
28,210,991,494
28,247,988,266
28,112,1001,180
28,208,1040,154
28,230,1050,306
28,185,1054,378
28,153,1073,952
29,615,887,1794
29,551,905,255
29,572,911,406
29,520,919,208
29,502,924,187
29,573,924,204
29,595,926,198
29,555,936,266
29,513,941,450
29,593,947,696
29,492,951,182
29,641,971,352
29,518,980,238
29,629,997,224
29,501,1006,150
29,552,1037,374
30,502,924,187
30,492,951,195
30,494,986,192
30,409,993,210
30,390,995,169
30,355,1006,209
30,441,1024,432
30,331,1044,280
30,498,1069,324
30,451,1068,273
30,366,1075,450
30,392,1071,315
30,416,1083,156
30,379,1089,171
30,410,1099,936
30,316,1094,143
30,356,1113,756
30,491,1135,528
30,402,1137,380
30,473,1196,361
30,455,1209,285
30,485,1219,900
31,1489,987,170
31,1354,1004,252
31,1425,1008,204
31,1477,1017,728
31,1446,1035,143
31,1335,1053,528
31,1456,1069,672
31,1399,1068,440
31,1345,1078,500
31,1441,1099,575
31,1366,1118,840
31,1405,1122,644
32,695,1024,352
32,749,1048,165
32,621,1137,252
33,602,1127,1976
33,543,1122,350
33,491,1135,528
33,524,1149,378
33,526,1195,1640
33,473,1196,361
33,455,1209,285
33,487,1219,780
33,501,1249,210
34,1329,1235,364
34,1382,1249,700
34,1403,1291,408
34,1367,1338,728
34,1396,1343,198
35,152,1275,384
36,833,1293,6020
36,712,1280,483
36,731,1324,165
36,854,1389,256
37,501,1249,210
37,660,1264,360
37,674,1345,700
37,620,1359,216
37,637,1370,1056
37,670,1393,920
38,854,1389,272
38,779,1430,357
38,893,1432,285
38,808,1444,323
38,774,1451,442
38,802,1469,646
38,792,1494,260
38,863,1506,572
38,815,1509,176
38,834,1514,418
39,1181,1412,4608
39,1097,1427,324
40,968,1385,171
40,1010,1434,3650
41,709,1383,168
41,737,1410,4588
41,696,1436,272
41,776,1452,240
41,738,1479,180
41,669,1544,12535
41,742,1505,459
42,192,1441,195
42,140,1449,437
42,208,1466,1410
42,174,1487,228
42,126,1514,425
42,210,1528,510
42,148,1532,336
43,1455,1542,494
43,1498,1558,432
46,527,1518,396
46,542,1569,380
46,532,1589,176
46,510,1614,1472
49,1172,1527,966
49,1135,1544,195
49,1127,1558,168
49,1131,1586,1036
49,1178,1607,288
49,1131,1619,285
49,1247,1628,323
50,214,1608,425
50,297,1626,156
50,212,1633,266
51,1265,1595,224
51,1248,1629,360
51,1334,1651,154
51,1250,1671,200
51,1319,1684,361
52,1468,1647,3120
52,1408,1645,558
52,1385,1693,210
53,807,1659,154
53,765,1685,2597
53,806,1677,165
53,794,1703,208
53,726,1726,874
53,774,1758,858
53,847,1772,168
53,838,1800,324
54,1268,1939,475
