# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/D - 02(fld 05 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,224,36,559
0,277,83,238
0,188,150,190
1,599,92,1512
1,579,143,396
1,624,164,1200
1,560,187,240
2,1215,85,209
2,1130,205,840
2,1196,224,285
3,737,139,240
3,666,200,434
3,715,235,256
4,1478,155,306
5,137,202,442
5,175,209,300
5,122,220,756
5,59,225,357
5,77,228,247
5,177,235,234
5,85,255,182
5,55,279,266
5,190,283,198
5,111,299,400
5,145,309,500
5,98,316,272
5,112,330,196
5,76,365,260
6,1621,306,209
7,629,303,1518
8,1131,206,700
8,1011,224,435
8,1022,244,320
8,976,258,352
8,1122,312,204
8,1002,328,180
8,986,339,392
8,986,361,221
8,1004,364,416
8,977,390,440
9,1414,262,627
9,1491,344,357
9,1432,377,1024
9,1470,378,609
10,866,326,168
10,956,369,306
10,977,390,440
11,670,262,665
11,674,290,198
11,726,331,700
12,390,274,775
12,357,274,204
12,425,298,1088
12,373,323,204
12,403,329,320
12,364,344,598
13,596,375,570
14,663,282,187
14,741,292,750
14,783,299,1170
14,674,291,240
14,726,331,700
14,866,326,168
14,800,443,891
14,821,470,360
14,731,527,420
15,1284,378,238
15,1269,410,224
15,1303,439,1720
17,411,378,224
18,1511,463,216
18,1511,484,361
18,1539,491,198
19,800,443,891
19,821,470,360
19,731,527,420
20,988,509,480
20,1022,538,810
20,917,538,210
20,936,559,200
20,900,557,156
20,1045,562,195
20,901,573,221
20,1038,602,930
20,940,608,266
21,986,361,221
21,1004,364,400
21,880,446,43610
21,956,369,306
21,1284,378,238
21,977,390,440
21,1269,410,224
21,1303,439,1720
21,801,440,672
21,821,470,320
21,988,509,480
21,730,526,306
21,1022,539,780
21,917,538,210
21,936,559,200
21,900,557,156
21,1045,563,182
21,902,573,204
21,852,585,250
21,1039,602,900
21,940,608,266
21,920,705,23478
21,900,665,504
21,1072,664,225
21,1414,695,270
21,858,705,182
21,712,707,231
21,760,713,238
21,1413,723,450
21,789,736,675
21,688,747,780
21,1304,751,306
21,915,759,899
21,886,753,156
21,1100,758,210
21,1025,766,525
21,818,777,288
21,904,781,360
21,710,792,280
21,1073,831,4554
21,971,811,160
21,827,815,196
21,691,840,1681
21,912,829,189
21,882,885,10504
21,976,848,989
21,1305,849,270
21,807,867,1085
21,690,885,624
21,1257,918,1225
21,774,913,182
21,864,914,154
21,936,925,504
21,794,937,252
21,857,941,836
21,1368,941,684
21,1252,941,192
21,1266,952,304
21,782,956,288
21,984,1005,17328
21,1330,956,180
21,976,968,1200
21,1394,963,340
21,1217,969,195
21,750,971,221
21,1230,982,240
21,894,993,308
21,1406,993,180
21,1185,1012,918
21,873,1024,208
21,727,1035,224
21,1271,1066,5520
21,1354,1037,187
21,935,1043,240
21,1182,1055,1505
21,1384,1060,1180
21,927,1079,748
21,755,1071,260
21,823,1072,378
21,797,1073,273
21,1198,1082,168
21,1095,1174,46767
21,899,1135,1496
21,970,1142,361
21,1358,1164,361
21,1187,1166,330
21,848,1186,841
21,1360,1186,210
21,813,1209,2376
21,1317,1201,360
21,1401,1197,294
21,1377,1210,170
21,1273,1220,315
21,892,1237,532
21,656,1239,378
22,1634,543,156
22,1648,634,210
22,1600,634,264
22,1657,661,1470
22,1707,681,256
23,158,550,306
24,1444,684,210
24,1414,695,270
24,1413,723,450
24,1500,778,437
25,843,622,130
25,900,665,504
25,858,705,182
25,859,744,726
26,507,600,180
26,527,614,1480
26,572,628,255
26,525,645,228
26,580,658,528
26,552,663,288
26,548,696,1150
27,1001,660,255
27,942,691,4958
27,1072,664,225
27,1025,767,560
28,1525,740,378
28,1593,738,195
28,1551,741,238
28,1502,777,336
28,1513,813,806
28,1587,829,231
28,1561,844,210
28,1564,862,196
28,1570,886,252
29,1824,812,255
30,860,745,1271
30,915,759,899
30,886,753,156
30,904,781,360
30,912,829,189
30,882,882,8835
30,973,848,748
31,712,707,231
31,760,713,238
31,795,734,1221
31,688,747,780
31,818,777,288
31,710,792,280
31,827,815,196
31,691,840,1681
31,807,867,1085
31,690,885,624
31,774,913,182
32,1304,751,324
32,1305,849,270
33,1702,752,270
33,1669,791,3339
34,1950,777,399
34,1988,787,208
34,1824,812,255
34,1923,833,171
34,1945,831,176
34,1940,849,340
34,1941,882,165
34,1890,891,333
36,1257,915,1505
36,1251,941,204
36,1266,952,323
36,1217,969,210
36,1230,982,264
37,976,848,1104
37,937,925,620
37,1070,932,182
38,689,885,399
38,576,944,1479
38,609,983,308
39,1891,891,342
39,1869,972,170
39,1929,974,285
40,1846,910,238
40,1748,989,475
40,1850,1015,1015
41,1304,751,306
41,1403,848,47560
41,1502,777,336
41,1512,813,775
41,1305,849,252
41,1564,862,196
41,1570,886,252
41,1368,941,646
41,1331,955,154
41,1394,963,285
42,1663,884,8322
42,1785,885,9045
42,1611,925,210
42,1748,989,475
43,1070,932,182
43,974,967,1426
44,879,891,1792
44,774,912,195
44,864,914,168
44,857,941,950
44,794,938,306
44,721,941,238
44,782,955,306
44,750,970,247
44,895,973,180
44,894,993,322
44,873,1024,208
44,727,1034,272
44,823,1071,405
44,755,1071,286
44,797,1073,308
45,1368,941,684
45,1252,941,192
45,1266,952,323
45,1330,956,180
45,1394,963,340
45,1406,993,180
45,1354,1037,187
45,1384,1060,1200
46,1182,1055,1505
46,1198,1082,180
46,1187,1167,352
47,873,1024,208
47,935,1043,240
47,927,1079,748
47,899,1135,1496
47,971,1142,342
48,1644,1091,210
48,1622,1190,294
49,1358,1165,400
49,1360,1186,210
49,1317,1201,375
49,1402,1197,330
49,1377,1210,170
49,1442,1232,144
49,1307,1249,357
50,626,1231,272
50,656,1239,378
50,620,1255,204
50,694,1271,234
52,1517,1162,360
52,1520,1204,700
52,1552,1209,341
52,1566,1267,2491
53,1003,1266,624
53,1013,1294,195
53,1053,1295,224
54,848,1186,783
54,813,1209,2376
54,892,1237,532
54,877,1292,168
55,489,1221,306
55,522,1254,784
55,453,1254,594
55,451,1276,221
55,523,1295,400
55,384,1322,405
56,1191,1260,306
56,1246,1337,462
57,1246,1337,462
57,1274,1350,154
57,1353,1421,176
58,581,1388,682
58,598,1414,272
59,1800,1443,345
59,1777,1479,216
59,1764,1497,247
60,1882,1468,156
60,1884,1491,468
60,1975,1516,208
61,332,1490,300
62,535,1528,150
62,466,1532,252
62,498,1581,308
64,1534,1614,192
64,1571,1627,168
64,1527,1651,221
64,1575,1672,340
64,1486,1677,460
64,1537,1698,240
65,1380,1623,320
65,1319,1650,224
65,1327,1677,320
65,1384,1692,210
68,564,1740,480
68,526,1770,486
68,617,1803,180
