# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/D - 07(fld 09 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,372,151,484
0,391,156,240
0,465,183,1020
0,340,195,950
0,390,205,650
0,407,234,136
0,346,239,210
0,381,238,187
1,407,233,162
1,346,239,210
1,381,238,187
1,510,281,728
1,490,339,1295
2,792,304,361
2,868,304,330
2,771,333,1120
2,894,347,208
2,793,355,210
2,760,362,432
2,787,373,468
2,860,389,300
2,733,389,169
2,779,395,690
3,1739,325,608
3,1518,370,408
7,1729,755,650
8,1592,749,368
8,1680,831,864
8,1602,828,418
9,932,768,156
9,964,813,380
9,947,822,300
10,498,761,300
10,536,767,460
10,565,788,360
10,479,786,143
10,459,798,187
10,560,819,513
10,591,837,288
10,565,851,960
10,433,866,1470
10,519,854,231
10,531,866,160
10,493,871,825
10,588,884,240
10,451,908,864
10,460,942,357
10,524,943,336
10,485,944,330
10,569,951,600
11,275,727,961
11,250,748,260
11,294,761,285
11,264,771,627
11,282,821,437
11,269,846,1188
11,343,906,1734
11,253,900,400
11,298,917,825
12,1681,833,460
12,1603,831,260
12,1683,922,1089
12,1698,968,408
13,1732,889,576
13,1682,923,961
13,1698,968,384
13,1782,979,176
13,1756,986,576
13,1657,1014,169
13,1673,1027,522
13,1760,1058,1560
14,588,884,270
14,628,890,252
14,568,952,650
14,639,987,169
15,797,924,285
15,865,975,252
15,859,993,168
15,763,1017,504
16,250,1031,180
16,266,1046,360
16,288,1073,1134
16,185,1075,1023
16,248,1083,216
16,296,1107,624
16,184,1114,210
16,284,1140,780
16,240,1151,220
16,263,1163,255
17,784,1060,342
17,858,1064,187
17,810,1070,483
17,754,1084,216
17,778,1089,390
17,873,1116,3417
17,708,1123,1672
17,666,1163,342
17,717,1184,1892
17,792,1209,4628
17,858,1202,324
17,688,1214,675
17,751,1231,195
17,712,1244,816
17,792,1254,228
18,665,1163,441
18,550,1208,720
18,583,1204,264
19,1572,1148,208
19,1553,1179,3968
19,1602,1174,352
19,1480,1195,1892
19,1358,1204,228
19,1386,1211,323
19,1586,1215,322
19,1544,1227,225
19,1570,1237,195
19,1528,1266,264
20,1996,1188,182
20,1887,1221,306
20,1956,1252,260
20,1933,1254,143
20,1961,1280,168
20,1923,1307,690
20,1885,1303,168
21,1704,1294,425
21,1730,1295,180
21,1627,1315,322
21,1719,1324,558
21,1710,1348,350
21,1685,1367,182
21,1705,1368,252
22,407,1365,361
22,469,1414,728
22,495,1411,228
22,512,1429,918
22,430,1432,984
22,461,1446,575
23,1876,1356,208
23,1892,1375,1110
23,1898,1398,240
23,1899,1428,1656
23,1805,1479,544
23,1815,1537,2058
24,1037,1323,270
24,985,1368,3472
24,1035,1361,270
24,1046,1406,529
24,1114,1460,504
25,1544,1401,300
25,1570,1405,322
25,1571,1434,594
25,1465,1439,360
25,1591,1467,437
25,1459,1465,160
25,1502,1504,1504
25,1570,1499,352
25,1538,1516,256
26,771,1481,300
27,1229,1399,2112
27,1172,1428,459
27,1218,1441,1426
27,1149,1460,196
27,1145,1484,323
27,1212,1533,528
27,1163,1558,2200
27,1129,1575,528
28,1805,1479,544
28,1815,1537,2100
28,1732,1537,132
28,1741,1562,418
28,1760,1566,247
28,1684,1585,595
28,1796,1593,270
28,1784,1609,714
28,1756,1608,320
30,1146,1484,340
30,1059,1516,240
30,1102,1551,289
30,1128,1575,611
30,1058,1566,720
30,1097,1579,460
31,1502,1504,1504
31,1569,1499,315
31,1538,1516,256
31,1556,1545,456
31,1685,1586,544
31,1516,1582,360
31,1595,1621,462
31,1578,1626,384
31,1529,1628,270
31,1516,1645,2499
31,1594,1657,1820
32,1385,1580,4374
32,1453,1581,154
32,1322,1717,952
32,1496,1708,210
32,1399,1832,20774
32,1488,1731,176
32,1318,1746,300
32,1472,1763,182
32,1317,1829,168
32,1465,1878,238
33,1289,1667,204
33,1221,1675,180
33,1261,1698,312
33,1322,1717,952
33,1294,1732,529
33,1317,1746,266
34,709,1623,192
34,836,1737,351
34,781,1740,552
35,1513,1651,494
35,1594,1656,1885
35,1544,1690,312
35,1519,1700,196
35,1572,1704,425
35,1496,1708,210
35,1488,1731,176
35,1472,1763,182
36,889,1662,1380
36,934,1678,171
36,945,1692,304
36,965,1694,187
36,870,1709,156
36,971,1720,336
36,993,1738,252
36,1009,1788,272
36,953,1812,272
37,1096,1725,1386
37,1154,1778,242
37,1148,1804,247
37,1096,1838,396
38,1707,1720,15855
38,1775,1772,294
38,1710,1803,350
38,1728,1802,182
38,1751,1836,420
39,1154,1777,253
39,1193,1796,242
39,1232,1803,231
39,1148,1804,247
39,1221,1834,440
39,1271,1834,180
40,1775,1772,247
40,1820,1807,750
40,1855,1803,720
40,1803,1831,345
40,1789,1854,238
40,1848,1886,198
41,485,1814,552
41,441,1814,800
41,478,1867,870
41,522,1860,198
41,425,1880,374
41,376,1888,192
41,506,1907,480
41,500,1927,360
41,445,1936,160
41,408,1945,450
41,483,1953,252
42,1273,1792,351
42,1232,1803,231
42,1319,1848,2537
42,1221,1834,440
42,1271,1834,180
42,1214,1891,210
42,1281,1894,182
44,1465,1878,238
44,1533,1895,575
44,1519,1919,315
44,1404,1962,169
