# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/D - 10(fld 01 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,890,109,200
0,826,128,154
0,834,159,221
0,922,175,392
0,916,201,216
0,797,214,289
0,819,230,225
0,842,247,169
1,1528,279,252
2,1238,247,252
2,1323,268,192
2,1239,272,414
2,1279,268,150
3,1442,269,300
3,1528,279,252
3,1452,291,572
4,448,296,1855
4,419,345,210
4,468,357,638
8,1326,359,270
8,1240,385,660
8,1324,417,255
8,1282,427,560
9,259,442,800
9,319,458,285
9,237,459,195
9,293,495,180
9,242,515,420
9,305,563,960
10,715,447,2068
10,748,487,304
11,1721,445,221
11,1743,503,300
11,1720,523,616
12,259,735,805
13,762,742,180
13,727,753,825
13,745,783,696
13,713,793,180
14,1313,725,840
14,1290,737,210
14,1376,737,315
14,1353,736,143
14,1261,747,336
14,1329,762,2193
14,1236,750,276
14,1378,759,609
14,1229,767,168
14,1250,783,192
14,1388,781,180
14,1229,782,208
14,1287,795,170
14,1351,816,2200
14,1219,803,238
14,1392,811,285
14,1222,825,414
14,1390,836,315
14,1204,845,506
14,1330,860,192
14,1233,863,208
14,1207,864,209
14,1390,886,315
14,1239,893,400
14,1302,902,870
14,1217,900,238
14,1370,919,594
14,1231,917,168
14,1269,926,506
14,1293,939,529
14,1235,935,160
14,1336,944,648
14,1306,960,378
15,564,793,255
15,587,839,999
16,1616,942,160
16,1600,973,480
16,1621,989,234
17,1017,922,285
17,978,947,408
17,1011,996,156
18,1838,989,162
18,1803,1037,180
18,1771,1087,156
19,487,985,289
20,1615,941,135
20,1600,973,480
20,1621,989,234
20,1697,1055,638
20,1721,1069,150
21,807,1016,169
21,839,1021,156
21,857,1052,1485
21,821,1070,216
21,771,1085,768
22,1803,1037,170
22,1697,1055,594
22,1771,1088,336
22,1832,1097,361
22,1734,1105,285
22,1828,1140,325
23,961,1108,825
25,111,1141,357
25,205,1178,440
25,101,1189,345
25,114,1216,165
25,151,1232,224
26,1734,1105,285
26,1829,1140,338
26,1893,1162,1276
26,1785,1176,330
26,1815,1194,540
26,1928,1241,1927
26,1892,1234,399
26,1869,1242,247
26,1811,1246,418
26,1865,1262,345
26,1771,1282,231
27,339,1249,357
27,266,1269,2072
28,1262,1262,255
28,1405,1295,825
28,1229,1310,1107
28,1418,1326,459
28,1305,1344,1763
28,1266,1340,182
28,1245,1353,221
28,1271,1361,285
28,1414,1377,3800
28,1363,1389,504
28,1304,1387,240
28,1286,1415,2263
28,1382,1437,225
28,1315,1454,992
29,1726,1354,288
30,1865,1263,368
30,1770,1282,416
30,1726,1353,323
30,1735,1385,1482
30,1766,1391,208
30,1791,1405,576
30,1828,1408,475
30,1777,1419,216
31,935,1340,572
31,982,1346,210
31,914,1366,165
31,976,1396,221
31,1009,1399,304
31,952,1437,195
32,562,1383,273
32,623,1391,667
32,521,1435,616
32,620,1461,3286
33,1791,1405,558
33,1829,1409,396
33,1777,1418,204
33,1844,1482,2070
34,1414,1377,3750
34,1382,1437,225
36,144,1864,380
36,196,1863,304
36,202,1885,221
36,120,1890,260
