# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/D - 09(fld 07 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,525,83,672
0,523,126,504
0,490,137,252
0,392,154,456
0,481,175,1020
1,1420,32,648
1,1359,61,1020
1,1350,156,744
1,1221,158,210
1,1383,169,225
1,1431,185,364
2,392,154,456
4,211,266,361
4,133,295,192
4,241,295,143
4,184,313,289
4,276,344,2640
4,179,351,608
4,147,351,247
4,243,384,170
5,471,393,777
5,556,385,476
5,524,394,627
5,487,423,650
6,1849,487,3422
6,1896,477,1512
6,1872,538,600
6,1831,573,380
6,1915,580,437
6,1966,582,225
6,1947,618,143
7,1664,508,744
7,1618,505,260
7,1699,511,225
7,1711,522,225
7,1583,523,192
7,1568,531,200
7,1721,544,210
7,1592,549,1122
7,1583,576,169
7,1573,588,288
7,1616,613,374
7,1536,682,352
8,643,637,2080
8,592,636,729
8,693,642,220
8,552,653,675
8,527,657,144
8,535,678,432
8,686,684,210
8,645,694,736
8,568,724,144
8,547,747,550
8,568,781,255
9,1416,693,210
10,1575,588,170
10,1536,682,352
10,1525,692,208
10,1475,718,783
10,1489,737,196
10,1471,743,204
10,1475,766,342
10,1495,783,153
11,187,712,252
11,274,718,500
11,304,724,638
11,300,747,576
11,280,769,322
11,312,775,1176
11,161,804,756
11,274,801,693
11,187,802,340
11,315,806,551
11,206,824,900
11,265,823,561
11,186,836,285
11,226,834,242
11,277,840,638
11,239,847,476
11,222,859,221
11,258,862,180
11,344,885,360
11,305,912,132
12,1624,678,481
12,1672,686,968
12,1681,720,2173
12,1608,739,672
13,568,724,144
13,547,747,550
13,321,770,336
13,569,781,270
13,425,790,272
13,314,806,352
13,455,858,646
13,413,858,288
13,426,877,320
13,343,885,399
14,453,858,198
14,426,877,320
14,473,899,390
14,481,943,1968
14,435,1016,1200
15,365,903,4554
15,305,912,132
15,307,945,391
15,340,948,187
15,287,970,576
15,294,1006,400
15,314,1020,224
15,284,1025,252
15,273,1054,300
15,306,1053,216
15,348,1065,350
15,299,1073,238
15,324,1078,306
16,1148,1003,384
16,1242,1043,810
16,1287,1042,234
17,1124,970,819
17,1102,991,368
17,1097,1058,972
17,1139,1059,336
17,1128,1078,168
18,1242,1043,810
18,1096,1059,910
18,1139,1059,288
18,1241,1068,252
18,1263,1069,224
18,1128,1078,156
18,1287,1097,196
18,1329,1125,986
18,1290,1125,306
18,1273,1137,182
18,1242,1145,966
18,1308,1146,486
18,1179,1158,320
18,1211,1161,525
18,1200,1200,2773
18,1299,1198,1032
19,555,1147,195
19,514,1155,441
19,539,1166,378
19,481,1166,300
19,529,1187,270
19,506,1207,396
19,566,1239,1209
19,599,1251,754
19,606,1274,210
20,168,1274,726
20,126,1291,418
20,290,1313,240
21,506,1206,340
21,355,1229,459
21,357,1290,1054
21,437,1295,378
21,492,1340,594
21,466,1363,180
21,486,1386,247
21,490,1438,340
21,292,1463,4730
21,349,1484,288
22,577,1312,480
22,493,1340,644
22,466,1363,180
22,627,1376,357
22,486,1386,247
22,640,1412,532
22,523,1410,288
22,553,1418,294
22,619,1430,621
22,489,1437,437
22,567,1464,1369
22,538,1466,240
23,292,1464,4590
23,240,1472,437
23,350,1481,600
23,226,1490,238
23,355,1535,2795
23,299,1551,714
23,322,1547,288
23,311,1569,240
23,332,1574,156
23,288,1589,378
24,983,1532,777
24,1011,1532,224
24,1089,1544,270
24,967,1560,360
24,1111,1570,825
24,1003,1584,378
24,1088,1589,300
24,1092,1617,288
24,1040,1637,2365
24,1129,1639,1066
24,942,1656,4814
24,1069,1659,1107
24,1087,1705,952
25,1089,1544,285
25,1111,1570,850
25,1088,1589,300
25,1092,1618,324
25,1268,1631,702
25,1129,1640,1092
25,1290,1631,182
25,1224,1636,143
25,1183,1662,544
25,1242,1720,196
25,1307,1736,294
25,1094,1782,783
25,1083,1847,180
26,838,1624,234
26,826,1656,644
26,860,1700,187
26,845,1700,210
26,884,1710,891
27,652,1719,240
27,673,1724,405
27,649,1792,1880
27,596,1805,210
28,944,1659,1232
28,1069,1659,1066
28,1086,1704,858
28,884,1710,858
28,1050,1720,682
28,1089,1786,5002
28,1031,1789,3840
28,1018,1862,2880
28,1082,1848,208
28,1066,1873,266
29,1018,1862,2970
29,1082,1848,208
29,1066,1873,304
29,959,1930,247
