# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/B - 06(fld 07 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,193,113,720
0,258,178,170
1,1179,110,525
1,1111,138,4526
1,1206,148,247
1,1129,178,962
1,1094,189,182
1,1070,199,196
1,1107,237,180
1,1033,247,195
1,1088,261,648
1,1052,263,361
1,1041,282,575
1,1131,296,528
1,1086,307,1680
1,1051,333,195
1,1187,357,270
2,1641,131,180
2,1705,203,168
2,1691,276,2009
3,1244,266,392
3,1284,282,1148
3,1241,307,713
3,1285,330,231
3,1187,357,300
4,1887,337,252
4,1879,358,690
4,1852,375,180
4,1877,427,528
4,1908,443,1365
4,1885,463,1144
4,1862,476,288
5,1852,375,180
5,1768,390,204
5,1787,396,300
5,1877,427,528
5,1800,449,196
5,1874,459,306
5,1862,476,288
5,1794,484,238
6,1387,507,696
6,1410,517,396
6,1429,546,210
6,1367,568,325
6,1416,572,170
6,1340,597,247
6,1286,596,192
6,1345,616,224
6,1318,636,1363
6,1357,629,156
6,1403,631,182
6,1366,641,165
7,85,581,144
7,73,614,176
8,1177,502,676
8,1146,509,418
8,1199,513,255
8,1124,538,1369
8,1232,538,198
8,1210,562,525
8,1189,561,196
8,1138,693,2970
8,1083,687,812
8,1185,693,378
8,1055,706,675
9,825,652,594
9,838,672,224
9,851,680,308
10,1961,566,560
10,1853,622,168
10,1854,649,980
10,1843,665,176
11,1550,668,1701
11,1527,648,234
11,1531,674,357
12,1079,683,224
12,1129,692,1088
12,1185,693,378
12,1055,706,621
12,1193,717,322
12,1196,727,1980
12,1209,718,196
12,1152,721,200
12,1054,734,750
12,1033,761,1085
12,1153,761,408
12,1054,760,132
12,1063,771,153
12,1090,778,506
12,1215,797,2880
12,1044,790,306
12,1140,788,299
12,1045,821,841
12,1185,833,1598
12,1065,845,304
12,1149,859,1280
12,1096,867,400
13,920,838,247
13,969,851,361
13,893,856,315
13,925,877,1488
13,986,911,1012
13,948,952,357
13,1010,984,528
14,1350,953,2808
14,1246,987,220
14,1352,992,308
14,1370,1004,240
14,1249,1012,304
14,1313,1014,882
15,544,986,644
15,628,1047,252
16,1612,925,266
16,1575,927,210
16,1540,935,224
16,1575,978,2438
16,1580,961,322
16,1605,981,286
16,1517,986,340
16,1612,1028,240
17,1357,944,836
17,1376,954,180
17,1394,977,1122
17,1351,992,286
17,1370,1004,240
17,1471,1007,247
17,1359,1030,992
17,1392,1066,1683
17,1392,1087,208
17,1357,1105,266
18,948,952,357
18,1053,986,1980
18,1010,984,561
18,1043,990,266
19,657,976,464
19,667,990,240
19,628,1047,252
20,351,1034,238
20,369,1052,486
20,362,1092,4420
20,348,1151,240
21,1359,1030,992
21,1269,1036,1682
21,1337,1064,3276
21,1263,1059,272
21,1357,1105,266
21,1319,1109,300
22,760,1105,190
22,856,1138,616
22,811,1137,352
22,795,1158,572
22,829,1174,504
22,801,1206,900
23,1201,1250,308
23,1187,1260,252
23,1223,1271,350
23,1170,1316,4464
23,1216,1295,221
24,947,1275,684
24,920,1286,352
24,927,1327,400
24,989,1340,660
24,955,1347,841
25,791,1270,322
25,810,1275,224
26,1023,1453,1824
27,1286,1437,198
27,1308,1448,360
27,1287,1515,6030
27,1204,1498,783
27,1222,1549,418
27,1251,1555,210
28,1649,1440,456
28,1667,1467,400
28,1543,1521,980
29,502,1484,980
29,444,1515,810
29,399,1507,260
29,540,1535,3111
29,501,1529,384
29,386,1546,720
29,408,1536,255
29,454,1558,600
29,362,1556,323
29,487,1556,612
29,522,1563,180
30,522,1563,240
30,488,1569,240
30,385,1581,221
30,376,1596,224
30,408,1599,506
30,516,1609,2067
30,375,1622,620
30,477,1650,234
31,772,1585,1764
31,821,1587,360
31,847,1601,342
31,740,1609,336
31,742,1653,2520
31,798,1636,228
31,729,1658,300
31,850,1655,170
31,832,1679,725
31,769,1674,364
31,800,1683,930
32,1095,1728,4386
32,1157,1730,208
32,1144,1745,253
32,1166,1753,744
32,1035,1785,420
32,1121,1786,1012
32,988,1799,945
32,1158,1830,195
32,1085,1855,192
32,1115,1869,320
33,220,1820,910
33,241,1818,225
33,276,1828,330
33,301,1842,255
33,191,1848,792
33,303,1867,180
33,179,1874,204
33,215,1897,416
33,280,1911,529
33,200,1915,525
33,245,1917,182
33,225,1923,260
33,253,1940,1292
