# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/A - 05(fld 04 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,1287,115,598
0,1369,113,380
0,1231,135,3808
0,1317,120,550
0,1376,174,676
0,1264,192,2444
0,1236,245,912
0,1300,253,1512
0,1238,277,780
0,1345,281,357
0,1291,286,210
0,1366,314,630
0,1326,320,960
0,1222,339,984
1,1434,195,3024
1,1575,177,240
1,1514,192,896
1,1532,266,1092
1,1412,258,169
1,1501,271,952
1,1443,266,180
1,1567,294,1849
1,1509,298,198
1,1462,308,891
1,1495,313,374
1,1545,351,972
2,1532,266,1092
2,1603,278,323
2,1567,294,1892
2,1545,351,972
2,1621,359,378
2,1583,391,3213
2,1542,407,150
3,717,347,2805
3,660,363,1330
3,795,400,609
3,759,399,182
3,765,417,304
3,670,445,210
3,682,464,320
3,808,502,1612
3,738,521,225
3,774,558,4992
3,732,541,480
3,591,553,625
3,851,561,630
3,692,558,342
3,720,583,160
4,1366,318,208
4,1326,320,893
4,1222,339,912
4,1218,381,420
4,1250,379,432
4,1285,399,1292
4,1190,435,3362
4,1255,409,432
4,1308,450,512
4,1293,488,1344
4,1212,529,3551
4,1250,514,252
4,1267,538,760
5,878,322,272
5,991,322,210
5,910,349,3264
5,969,372,759
5,900,441,14231
5,796,400,630
5,900,424,902
5,811,504,2074
5,904,519,936
5,947,541,837
5,844,575,3870
5,988,564,432
5,976,604,210
5,802,630,1320
5,849,651,300
6,1052,483,17680
6,1034,526,176
6,988,564,432
6,1089,585,792
6,1171,599,156
6,976,604,195
6,1057,627,1026
6,1009,635,306
7,1292,488,1386
7,1455,500,1218
7,1213,529,3213
7,1250,514,252
7,1267,538,760
7,1458,576,560
7,1401,574,208
7,1369,600,644
7,1455,591,165
7,1428,598,240
7,1442,608,152
7,1409,663,6715
7,1376,705,506
7,1344,789,216
7,1378,793,297
8,1881,613,4104
8,1923,617,286
8,1867,710,1110
8,1847,835,25071
8,1940,794,209
9,539,627,14061
9,720,583,228
9,748,639,17113
9,522,726,210
9,547,743,360
9,577,746,560
9,599,744,224
9,552,759,252
10,1493,484,231
10,1454,500,1632
10,1458,576,600
10,1401,574,240
10,1455,591,165
10,1428,598,240
10,1443,608,160
10,1487,632,972
10,1411,663,5928
10,1466,655,294
10,1561,677,1680
10,1563,755,204
10,1526,777,234
11,307,560,169
11,397,617,644
11,362,640,1140
11,468,637,216
11,417,665,468
11,331,674,1209
11,417,712,391
11,414,755,210
11,284,772,2254
11,352,773,1711
11,420,790,726
11,391,796,221
11,308,815,1204
12,1970,729,144
12,1965,762,726
12,1941,795,384
12,1892,818,285
13,1724,634,714
13,1660,818,3800
13,1665,859,168
14,1526,777,198
14,1344,789,216
14,1378,793,297
14,1390,822,1980
14,1306,858,7566
14,1459,906,323
14,1342,927,1681
14,1425,930,323
14,1378,943,576
14,1435,975,4002
14,1478,1002,315
14,1449,1010,192
15,1755,941,1960
15,1595,988,1066
15,1734,1014,5394
15,1656,1002,300
15,1734,1053,156
16,1747,938,289
16,1768,950,306
16,1714,1002,672
16,1738,1022,2849
16,1734,1053,168
17,1547,1150,224
17,1586,1167,306
17,1599,1187,320
17,1579,1221,234
18,475,1716,792
18,483,1747,750
18,426,1765,300
19,827,1609,264
19,657,1650,6636
19,620,1633,240
19,824,1646,624
19,785,1640,195
19,760,1670,1292
19,809,1670,168
19,824,1684,300
19,678,1701,272
19,876,1713,396
19,656,1758,11011
19,608,1819,196
