# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/E - 02(fld 04 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,1544,178,374
0,1488,230,812
0,1541,264,216
1,1879,149,224
1,1877,181,672
1,1791,193,150
1,1812,196,204
1,1828,206,162
1,1764,275,500
1,1810,303,416
1,1873,312,204
1,1733,357,2655
2,1487,230,783
2,1408,252,1978
2,1469,262,432
2,1472,281,210
2,1459,308,399
2,1401,315,195
2,1430,329,504
2,1465,330,810
2,1446,352,288
3,934,216,1184
3,955,213,182
3,963,231,364
3,989,242,360
3,921,242,306
3,957,260,1288
3,891,273,380
3,924,295,1360
3,899,288,572
3,970,325,315
4,1408,252,1978
4,1401,315,208
4,1248,326,198
4,1431,328,315
4,1316,392,1326
4,1360,385,304
4,1345,403,304
4,1261,426,400
4,1402,445,437
4,1281,445,208
5,1537,288,440
6,1955,287,435
6,1810,303,416
6,1950,309,1350
6,1873,311,221
6,1920,330,187
6,1927,376,1443
6,1839,418,702
6,1908,435,676
6,1881,436,135
7,1213,310,420
7,1248,325,280
7,1222,330,420
7,1080,391,1938
7,1261,426,416
8,1309,390,320
8,1329,397,171
8,1345,403,304
8,1403,445,456
8,1281,445,208
8,1465,455,273
8,1499,481,442
8,1365,481,140
8,1345,502,689
8,1496,534,270
8,1385,546,220
8,1501,559,462
8,1419,556,176
8,1482,572,168
8,1435,575,558
8,1370,582,575
8,1462,582,196
8,1433,635,336
9,813,429,297
9,620,441,304
9,790,451,1014
9,685,455,1023
9,645,469,391
9,711,495,3468
9,811,502,4864
9,663,529,4104
9,711,564,378
9,601,562,330
9,639,577,495
9,688,586,304
9,735,605,630
9,731,638,221
9,705,689,195
9,601,703,170
9,670,730,380
9,610,741,380
9,1059,760,360
9,1072,775,350
9,698,815,888
9,738,885,525
9,585,920,160
9,590,962,182
10,1671,604,825
10,1701,669,240
11,1887,506,196
11,1828,517,165
11,1870,540,2596
11,1805,539,220
11,1903,675,396
12,731,638,204
12,705,689,195
12,601,703,170
12,670,730,380
12,610,741,360
13,380,791,420
14,225,680,272
14,202,694,594
14,264,693,176
14,250,705,208
14,275,710,176
14,198,717,273
14,199,759,506
14,270,789,160
15,1059,760,360
15,1072,775,336
16,365,834,308
16,381,902,552
16,337,915,870
16,306,932,468
16,326,942,546
16,353,946,420
16,401,958,1190
16,311,974,266
16,266,978,440
16,455,980,437
17,738,885,525
18,1452,1026,324
19,584,921,336
19,479,938,324
19,590,962,168
19,456,983,648
19,531,1000,768
19,452,1012,150
19,476,1012,165
19,521,1023,462
19,478,1035,494
19,616,1061,221
19,564,1083,989
19,517,1098,1830
20,403,957,700
20,455,984,783
20,385,992,629
20,452,1012,150
20,476,1012,165
20,522,1025,240
20,394,1036,1728
20,478,1035,494
20,353,1065,390
20,502,1099,754
20,484,1141,1080
20,445,1176,288
20,387,1203,192
21,597,1217,1176
22,1554,1134,270
22,1579,1136,238
22,1550,1161,567
22,1520,1171,391
22,1616,1170,200
22,1642,1192,280
22,1528,1214,266
22,1541,1230,192
22,1644,1259,306
22,1617,1273,861
22,1581,1279,396
23,155,1118,504
23,144,1167,231
23,66,1185,504
23,147,1181,176
23,85,1210,210
23,108,1246,240
24,1944,1188,345
24,1911,1222,1938
24,1986,1223,1080
24,1853,1256,870
24,1840,1284,361
24,1977,1306,754
24,1940,1308,888
24,1843,1312,300
24,1877,1325,300
24,1857,1329,156
24,1936,1330,169
24,1966,1335,380
24,1858,1347,285
24,1879,1346,273
24,1857,1357,286
24,1870,1375,378
24,1846,1380,182
24,1855,1403,650
24,1890,1420,1665
24,1923,1415,323
24,1961,1433,1564
24,1996,1431,221
24,1919,1435,289
24,1942,1461,1152
26,279,1292,500
26,315,1300,448
27,79,1419,324
27,119,1418,294
30,570,1329,200
30,619,1369,264
30,687,1379,176
30,568,1436,270
30,674,1451,364
30,615,1477,180
31,201,1076,648
31,276,1103,7700
31,184,1085,304
31,231,1086,368
31,320,1108,204
31,155,1117,532
31,309,1140,306
31,144,1167,242
31,147,1181,176
31,320,1182,176
31,288,1231,380
31,279,1292,500
31,181,1292,336
31,315,1300,448
31,228,1416,247
31,243,1430,240
31,324,1455,180
31,246,1523,374
32,1846,1380,195
32,1855,1403,729
32,1680,1417,210
33,353,1446,1053
33,324,1455,165
33,246,1523,357
33,331,1556,972
33,266,1566,204
