# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/E - 02(fld 10 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,1111,148,260
0,1181,174,4810
0,1068,152,532
0,1109,190,4875
0,1087,187,336
0,1074,250,1188
0,1051,255,182
0,1099,263,340
0,1099,297,624
1,387,137,224
1,366,162,297
1,401,240,286
1,426,258,400
1,414,278,696
1,336,304,513
1,375,314,312
3,850,751,240
4,86,759,2750
4,140,781,352
4,64,838,210
4,95,864,182
4,68,873,319
4,157,875,156
4,120,878,156
4,133,927,272
4,103,936,252
4,71,950,252
5,1544,818,338
5,1519,853,198
5,1588,870,416
5,1559,890,621
5,1448,900,630
5,1578,915,240
6,1261,962,525
6,1390,990,1386
6,1282,978,234
6,1341,996,180
6,1369,1024,418
6,1331,1032,270
7,596,922,150
7,622,968,224
7,570,991,400
7,526,998,250
7,558,1024,180
7,583,1025,182
7,551,1070,377
8,1454,921,280
8,1476,966,2912
8,1451,994,240
9,838,939,312
9,760,962,930
9,830,991,442
9,950,999,380
9,840,1018,609
9,926,1053,540
10,830,991,390
10,840,1018,551
10,926,1052,425
10,1076,1065,240
10,985,1080,154
10,1066,1108,2862
10,1010,1131,513
10,1007,1154,374
10,1065,1167,928
10,939,1205,204
10,1194,1213,204
10,846,1224,693
10,872,1215,208
10,1042,1261,5994
10,942,1228,312
10,866,1243,629
10,1170,1252,176
10,1108,1254,195
10,890,1265,528
10,1191,1278,336
10,987,1282,192
10,910,1293,621
10,1151,1291,544
10,1181,1304,390
11,1256,1195,160
11,1194,1213,204
11,1207,1244,756
11,1243,1278,792
11,1191,1278,336
11,1234,1296,195
11,1218,1308,306
11,1248,1309,156
11,1207,1323,208
12,1065,1167,928
12,1194,1213,204
12,1108,1255,168
12,1191,1278,336
12,1151,1291,544
12,1181,1304,390
12,1207,1323,208
12,1177,1327,238
12,1047,1329,169
13,1697,1264,210
13,1568,1326,465
13,1633,1349,3770
13,1576,1359,600
13,1613,1349,150
13,1559,1353,143
13,1604,1364,286
13,1600,1401,1520
14,198,1151,494
14,171,1152,216
14,229,1165,300
14,153,1171,272
14,133,1174,252
14,246,1179,270
14,199,1186,228
14,125,1218,2790
14,279,1209,1302
14,173,1203,255
14,241,1252,4446
14,142,1252,224
14,198,1277,204
14,118,1285,240
14,135,1288,169
14,211,1296,182
14,118,1312,340
14,153,1357,374
14,283,1363,221
14,323,1384,500
14,221,1410,1302
14,257,1428,2420
14,63,1511,320
15,847,1231,400
15,1042,1261,5994
15,942,1228,312
15,866,1243,629
15,1108,1254,195
15,890,1264,575
15,987,1282,221
15,910,1294,667
15,1047,1329,182
15,1058,1398,682
15,1088,1408,621
16,1847,1361,168
16,1903,1363,165
16,1954,1376,272
16,1918,1379,336
16,1855,1396,221
16,1897,1398,264
16,1932,1403,480
16,1889,1413,480
16,1915,1425,320
16,1945,1422,405
16,1843,1439,1334
16,1957,1445,899
16,1863,1452,672
16,1914,1445,574
16,1889,1468,208
16,1925,1477,616
16,2009,1473,182
16,1946,1479,240
16,1963,1488,198
16,2011,1528,154
17,1133,1371,2074
17,1122,1428,690
17,1151,1448,261
17,1259,1473,252
17,1117,1492,182
17,1200,1512,945
17,1231,1509,360
17,1166,1528,352
17,1252,1573,168
18,869,1423,1160
18,747,1433,247
18,893,1495,150
18,817,1517,260
18,869,1534,1802
18,895,1562,272
19,1349,1473,308
19,1415,1512,360
19,1396,1516,361
19,1353,1544,616
19,1287,1546,506
19,1436,1549,168
20,910,1513,348
20,870,1533,1632
20,923,1542,240
20,980,1550,506
20,895,1562,272
20,934,1563,432
20,912,1620,210
20,1025,1656,391
20,991,1680,255
21,1353,1544,616
21,1252,1573,168
21,1262,1592,360
21,1240,1600,323
21,1210,1615,154
21,1255,1633,512
21,1238,1647,483
21,1257,1667,532
21,1324,1672,252
21,1194,1677,224
21,1283,1691,527
21,1233,1691,187
22,844,1624,6630
22,763,1628,210
22,742,1701,300
23,1774,1570,210
23,1681,1604,5624
23,1631,1577,168
23,1912,1591,208
23,1773,1605,1080
23,1594,1608,380
23,1803,1631,825
23,1558,1630,418
23,1823,1639,240
23,1799,1656,2124
23,1643,1648,323
23,1661,1673,506
23,1563,1692,285
23,1856,1702,868
23,1811,1712,240
23,1792,1725,720
23,1779,1751,1320
23,1827,1755,783
24,1025,1656,408
24,991,1680,255
24,1020,1750,990
24,996,1770,154
24,1006,1844,990
24,1038,1865,225
26,932,1687,1664
26,991,1680,255
26,907,1697,286
26,897,1727,513
26,996,1770,154
26,1005,1844,702
27,172,1711,361
27,217,1738,1664
27,155,1739,462
27,188,1809,525
27,143,1823,1000
27,227,1830,1012
27,150,1861,1178
27,267,1854,280
27,198,1863,650
27,220,1863,399
27,260,1886,288
27,170,1901,575
27,195,1905,143
27,219,1909,192
28,1678,1600,2392
28,1594,1609,400
28,1559,1630,440
28,1643,1648,361
28,1662,1672,552
28,1618,1670,234
28,1563,1692,300
28,1505,1754,289
28,1443,1787,1722
28,1472,1788,304
28,1432,1824,252
28,1433,1893,377
28,1504,1909,345
29,1379,1924,304
