# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/F - 02(fld 05 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,621,291,210
0,613,316,957
0,580,313,162
0,498,335,348
0,625,366,650
0,603,360,143
0,516,371,754
0,602,379,182
0,524,405,221
0,601,413,204
1,904,323,525
1,963,318,198
1,1025,335,225
1,882,356,255
1,869,385,609
1,1036,379,210
1,893,397,180
1,923,400,140
1,864,412,255
1,928,425,374
1,1022,431,374
1,948,460,858
1,918,460,210
1,897,465,196
1,973,466,221
1,940,488,210
2,693,491,484
2,673,518,247
2,706,530,1312
2,657,523,266
2,631,542,748
2,613,538,240
2,729,557,1292
2,606,588,1558
2,802,587,153
2,740,592,208
2,609,618,210
2,627,626,414
2,608,639,160
2,645,666,729
2,787,685,432
2,766,720,176
2,791,751,480
3,863,566,342
3,898,586,1140
3,944,590,1134
3,802,588,180
3,740,592,208
3,922,608,360
3,885,611,240
3,826,617,418
3,782,625,154
3,847,631,378
3,810,638,448
3,948,638,240
3,916,670,195
3,786,685,450
3,824,696,308
3,765,720,187
3,847,734,418
3,817,732,169
3,797,754,1036
4,1159,644,240
4,1179,671,513
4,1207,680,594
4,1160,688,198
4,1254,694,460
4,1144,718,800
4,1204,718,169
5,1770,671,224
5,1791,696,504
5,1738,711,221
5,1805,749,420
5,1711,751,225
5,1779,770,360
5,1731,773,665
6,201,653,400
6,263,666,252
6,197,670,330
6,253,748,154
7,503,813,3600
8,112,910,1620
8,142,938,252
9,395,885,7068
10,824,883,450
10,970,888,630
10,1073,933,2790
10,991,923,1120
10,847,918,357
10,916,951,1804
10,943,941,204
10,1110,950,285
10,993,954,242
10,1029,957,168
10,994,983,1634
10,1091,974,680
10,1057,1000,378
10,908,1104,490
11,240,974,288
11,185,979,336
11,211,980,286
11,222,998,273
11,176,1030,176
12,717,1045,3168
12,789,1165,272
12,750,1180,156
12,783,1238,195
13,789,1165,272
13,811,1163,180
13,750,1180,156
13,884,1192,300
13,977,1195,247
13,795,1204,504
13,836,1208,437
13,865,1207,266
13,1003,1218,255
13,876,1229,384
13,857,1233,360
13,791,1240,1008
13,968,1237,266
13,853,1259,468
13,878,1308,248
14,162,1149,255
14,196,1184,2379
14,111,1164,231
14,86,1178,154
14,172,1206,288
14,207,1227,208
14,161,1238,234
14,205,1247,154
14,121,1267,475
15,1179,1187,144
15,978,1195,260
15,1003,1218,255
15,968,1237,266
15,983,1316,9184
15,1074,1289,621
16,161,1238,234
16,205,1247,154
16,121,1267,475
17,1200,1385,540
17,1266,1386,405
17,1156,1405,432
18,540,1335,441
18,502,1344,600
18,479,1360,240
18,598,1369,483
18,472,1386,667
18,610,1394,728
18,491,1434,756
18,566,1426,140
18,522,1434,300
18,586,1434,225
18,611,1460,672
18,651,1493,3224
18,556,1471,192
18,571,1495,580
18,528,1500,660
18,424,1514,272
19,878,1308,248
19,782,1320,667
19,885,1325,144
19,704,1381,4503
19,794,1383,195
20,1008,1402,1372
20,1064,1425,276
20,982,1438,646
20,1010,1502,255
20,1035,1507,486
21,1153,1457,520
21,1274,1494,342
21,1145,1527,624
21,1247,1557,200
21,1165,1564,272
21,1267,1565,192
21,1213,1572,460
22,773,1579,572
22,795,1585,154
22,714,1610,231
22,836,1627,240
22,792,1646,1634
23,523,1433,154
23,488,1440,266
23,508,1478,266
23,529,1501,210
23,360,1504,156
23,338,1512,234
23,424,1515,288
23,326,1530,437
23,349,1586,143
23,315,1590,195
23,398,1609,456
24,611,1460,720
24,652,1488,4440
24,556,1471,192
24,573,1495,672
24,530,1501,224
24,551,1575,408
24,606,1580,210
25,1247,1557,190
25,1312,1563,266
25,1267,1565,192
25,1213,1571,437
25,1234,1642,368
25,1283,1657,240
26,1127,1629,240
26,1104,1651,570
26,1101,1707,196
26,1171,1718,272
26,1134,1726,209
26,1158,1737,156
27,2006,1801,943
27,1787,1811,260
27,2003,1841,528
28,333,1724,352
28,330,1744,288
28,329,1765,176
29,401,1710,182
29,333,1724,352
29,330,1744,288
29,329,1765,176
30,1787,1811,260
30,1795,1866,325
30,1830,1873,285
32,1266,1831,336
32,1259,1844,255
32,1170,1872,165
32,1278,1878,650
32,1254,1904,234
32,1214,1912,442
34,1007,1898,260
36,1795,1866,325
36,1831,1873,255
36,1809,1920,4200
36,1847,1948,144
36,1828,1958,234
36,1830,1988,380
