# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/F - 05(fld 05 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,851,110,390
0,869,133,672
0,877,160,169
0,844,165,187
0,777,171,306
0,941,168,171
0,860,187,280
0,924,220,7597
0,810,198,144
0,721,251,342
0,836,267,221
1,656,248,288
1,619,258,210
2,1753,240,1512
2,1715,241,1155
2,1788,246,544
2,1771,272,238
2,1759,326,285
2,1804,345,621
2,1742,350,1107
2,1773,369,195
2,1696,377,392
2,1710,420,204
2,1681,422,180
3,193,360,378
3,238,371,260
3,212,379,450
3,238,404,255
4,685,338,198
4,692,419,552
4,659,422,286
4,733,445,342
5,1278,263,546
5,1283,303,1638
5,1243,293,361
5,1343,299,255
5,1356,336,280
5,1244,339,204
5,1380,367,952
5,1311,372,1740
5,1362,394,1216
6,1472,339,1088
6,1519,335,396
6,1404,348,192
6,1380,367,952
6,1512,376,1380
6,1370,400,323
6,1429,413,2107
6,1398,399,169
6,1476,430,525
6,1516,427,176
6,1374,442,616
6,1455,453,330
6,1499,461,396
7,1116,453,2255
7,1116,507,1702
7,1136,536,208
7,1166,544,759
8,1430,413,1596
8,1476,430,525
8,1516,427,143
8,1343,435,460
8,1374,442,572
8,1454,453,286
8,1499,460,378
8,1330,487,2193
8,1449,484,756
8,1361,520,550
8,1400,526,192
8,1517,542,156
8,1498,569,644
9,1682,429,448
9,1647,456,513
9,1721,453,198
9,1693,472,1216
9,1579,539,702
9,1612,567,1260
9,1717,570,252
9,1632,604,306
10,658,422,252
10,733,444,289
10,641,450,456
10,758,460,374
10,790,460,196
10,629,468,396
10,653,478,418
10,746,476,228
10,778,490,520
10,624,500,418
10,761,513,1288
10,679,523,4030
10,731,516,476
10,627,521,204
10,724,547,770
10,740,573,540
10,780,587,180
10,761,590,180
11,1807,455,6076
11,1941,464,391
11,1918,480,1122
11,1877,475,266
11,1851,481,338
11,1854,498,165
11,1935,519,168
11,1878,537,672
11,1911,531,192
11,1917,539,580
11,1919,572,204
11,1866,630,198
12,1567,517,180
12,1575,538,980
12,1517,541,462
12,1547,544,273
12,1613,567,1190
12,1537,563,525
12,1498,569,644
12,1492,594,270
12,1624,607,1014
12,1480,615,352
12,1536,616,180
12,1637,640,957
12,1473,647,256
12,1575,647,190
12,1493,667,504
12,1616,686,416
12,1522,710,2565
12,1566,695,135
12,1586,713,1634
13,1272,668,598
13,1299,677,189
13,1278,694,810
14,793,688,306
14,674,703,306
14,779,739,368
14,715,770,196
15,1613,685,169
15,1719,698,240
15,1726,717,165
15,1698,726,288
15,1759,739,528
15,1702,777,234
15,1681,830,312
16,1522,710,2622
16,1566,696,150
16,1582,716,868
16,1453,801,288
17,1329,827,1610
17,1339,879,338
18,393,877,187
19,1339,879,338
19,1327,926,572
19,1415,940,336
19,1318,949,238
19,1349,989,3276
19,1320,988,816
19,1378,1010,384
19,1325,1015,169
20,1034,928,414
20,989,956,220
20,1003,985,1110
20,1113,991,306
20,1093,1013,1748
20,1029,1031,192
20,1058,1037,456
21,641,901,288
21,634,929,1107
21,613,944,754
21,628,962,432
21,620,981,182
21,603,984,169
22,153,956,580
22,225,1027,288
22,145,1036,425
23,1519,972,224
23,1494,1005,144
23,1477,1042,285
23,1502,1044,171
24,225,1027,288
24,303,1033,169
24,349,1037,285
24,324,1037,140
24,215,1074,1710
24,374,1092,378
24,283,1092,170
24,286,1123,800
24,344,1130,782
24,310,1152,294
25,1851,1115,925
25,1856,1153,224
25,1882,1168,192
25,1847,1178,550
26,1373,1119,418
27,1058,1096,300
27,1072,1131,1900
28,916,1277,456
28,1006,1288,403
28,950,1296,323
28,918,1307,667
29,698,1186,204
29,746,1213,315
29,773,1214,247
29,718,1245,575
29,765,1246,143
29,687,1266,322
29,725,1270,323
29,745,1274,221
30,1316,952,440
30,989,956,252
30,1341,989,4108
30,1003,985,1216
30,1113,990,342
30,1093,1013,1786
30,1378,1010,384
30,1325,1015,169
30,1343,1023,192
30,1012,1024,169
30,1029,1031,221
30,1058,1037,500
30,1390,1048,1127
30,1056,1095,468
30,1072,1131,1938
30,1373,1119,418
30,746,1213,315
30,773,1214,221
30,916,1277,456
30,1006,1289,390
30,950,1296,323
30,1194,1295,221
30,918,1307,667
30,1072,1372,130
30,967,1430,575
30,917,1442,198
30,1388,1492,729
30,936,1503,275
30,1366,1529,1230
30,1284,1532,864
30,1404,1526,280
30,1321,1532,1125
30,1388,1545,874
30,1265,1558,432
30,1327,1563,170
30,1397,1562,221
30,1345,1563,195
30,927,1570,731
30,1402,1580,192
30,1335,1579,364
30,1378,1610,448
30,1320,1614,1073
30,1343,1629,1760
30,877,1622,414
30,902,1624,378
30,1223,1630,306
30,1257,1657,3240
30,1247,1699,320
30,1405,1707,598
30,1309,1725,2448
31,1006,1288,403
31,1107,1324,132
31,1072,1372,130
32,170,1261,228
32,180,1356,600
33,1453,801,288
33,1329,827,1645
33,1339,879,338
33,1327,926,572
33,1414,941,374
33,1316,952,440
33,1341,989,4108
33,1519,972,224
33,1494,1005,144
33,1378,1010,384
33,1325,1015,169
33,1343,1023,192
33,1477,1042,285
33,1391,1048,1150
33,1502,1044,171
33,1373,1119,418
33,1388,1492,729
35,500,1365,2862
36,1584,1339,3723
37,405,1495,1023
38,967,1430,575
38,917,1442,198
38,936,1503,275
38,926,1571,481
39,63,1539,360
39,110,1586,374
40,1388,1493,702
40,1367,1529,1200
40,1403,1526,266
40,1388,1545,828
40,1430,1565,1050
40,1397,1563,204
40,1378,1609,432
40,1405,1707,575
41,377,1624,180
41,335,1679,450
42,877,1622,414
42,902,1624,378
43,1388,1493,702
43,1367,1529,1200
43,1283,1529,600
43,1404,1526,280
43,1322,1532,1100
43,1388,1545,828
43,1268,1557,330
43,1397,1563,204
43,1345,1564,180
43,1378,1609,432
43,1321,1614,972
43,1343,1629,1716
43,1223,1630,306
43,1257,1655,2964
43,1246,1699,304
43,1405,1707,575
43,1310,1725,2350
45,244,1714,672
45,321,1758,225
45,279,1806,540
46,79,1749,323
46,94,1764,285
46,185,1801,5005
46,70,1815,325
47,367,1715,156
47,394,1718,528
47,341,1741,276
47,446,1751,192
47,321,1758,225
47,331,1788,204
47,347,1792,210
47,334,1811,391
47,384,1811,494
47,452,1815,252
47,341,1839,1296
47,384,1844,552
47,435,1842,238
47,311,1847,400
47,314,1874,169
47,332,1883,143
48,1530,1735,204
48,1505,1750,304
48,1609,1775,234
48,1495,1789,196
48,1532,1803,357
48,1550,1823,506
48,1526,1823,330
49,567,1828,462
49,604,1840,441
49,549,1852,204
49,533,1878,210
49,543,1909,280
50,70,1815,325
50,97,1845,725
50,164,1865,620
51,334,1811,374
51,388,1811,255
51,272,1840,924
51,341,1839,1196
51,384,1844,504
51,231,1843,374
51,311,1847,400
51,213,1894,1620
51,324,1881,1485
51,261,1886,204
51,346,1928,841
51,326,1955,810
51,232,1959,1470
51,274,1977,1230
