# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/A - 05(fld 05 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,1137,62,210
0,1083,122,5520
0,926,105,1254
0,1207,108,440
0,1177,154,5082
0,939,160,3432
0,1007,178,3080
0,1100,179,540
0,835,197,336
0,801,205,342
0,788,238,462
0,1112,361,23236
0,934,342,165
1,928,116,160
1,933,153,1054
1,887,186,368
1,835,196,400
1,801,206,440
1,789,237,936
1,873,234,156
1,789,270,234
1,764,288,285
1,935,342,288
2,787,237,663
2,701,250,1400
2,656,258,594
2,789,270,234
2,764,288,285
2,605,289,208
2,608,306,192
2,631,312,273
2,760,324,165
2,635,349,1368
2,712,385,135
2,705,447,192
2,553,461,700
3,935,342,304
3,1145,348,315
3,1087,390,4828
3,998,380,448
3,951,397,180
3,976,409,272
3,965,426,150
3,916,453,2820
3,945,494,300
3,978,529,3450
3,894,515,360
3,840,541,168
3,912,572,5670
3,807,557,483
3,839,569,234
3,797,587,700
3,1099,613,713
3,1131,614,779
3,885,619,399
3,810,622,399
3,1183,618,156
3,1035,637,2860
3,966,677,961
3,843,671,224
3,890,720,338
4,553,460,665
4,908,466,620
4,630,552,38164
4,766,485,1680
4,562,489,220
4,894,516,308
4,807,557,460
4,893,567,1326
4,781,567,170
4,840,569,192
4,797,587,648
4,811,622,360
4,793,680,5016
4,632,663,312
4,843,671,156
4,616,707,224
4,639,715,384
4,668,720,252
5,1681,763,729
5,1671,813,1470
5,1645,805,195
5,1766,859,15904
5,1649,832,414
5,1672,858,165
6,1353,854,289
6,1377,856,300
6,1435,878,552
6,1398,897,464
7,741,723,704
7,668,720,378
7,715,722,180
7,619,743,546
7,590,753,368
7,666,760,768
7,739,786,3332
7,638,803,6035
7,781,796,180
8,1065,756,112892
8,810,622,399
8,843,671,182
8,890,721,260
8,959,725,253
8,860,745,176
8,1003,752,154
8,1253,768,182
8,810,792,1406
8,861,825,396
8,897,923,255
8,815,961,252
9,340,758,841
9,306,793,1134
9,272,857,1764
9,312,868,468
9,352,878,288
9,245,887,825
9,205,898,2288
9,367,893,575
9,267,907,837
9,385,913,483
9,101,917,260
9,185,946,1734
9,363,930,169
9,248,934,156
9,274,938,360
9,216,942,351
9,303,967,1290
9,224,962,377
9,402,974,1122
9,160,983,640
11,187,934,702
11,363,930,121
11,275,937,224
11,397,1014,18745
11,216,943,288
11,177,958,494
11,303,961,930
11,160,982,570
11,301,981,195
11,283,988,156
11,342,996,154
11,194,1053,10791
11,294,1047,289
11,323,1059,289
11,265,1064,320
11,288,1115,1344
12,897,923,342
12,778,967,1156
12,815,961,252
12,841,975,192
12,794,995,323
12,842,1038,1674
12,791,1070,742
13,1037,1058,340
13,1015,1063,195
13,1124,1099,4588
13,989,1084,391
13,1153,1084,165
13,1062,1123,360
13,980,1136,247
13,1121,1149,486
13,1077,1175,1290
13,989,1169,168
13,1016,1183,1080
13,1139,1175,350
13,1066,1198,182
14,753,1157,2091
14,704,1165,255
14,734,1181,483
14,686,1244,140
14,676,1287,3572
14,704,1264,154
14,730,1332,806
14,714,1354,285
14,684,1358,210
15,981,1137,216
15,799,1176,320
15,872,1187,441
15,900,1225,208
15,891,1249,256
15,879,1312,10057
15,973,1309,231
15,984,1357,165
15,954,1373,437
16,1867,1209,288
16,1862,1225,132
16,1850,1245,280
16,1818,1252,520
16,1807,1284,500
16,1866,1287,468
16,1734,1288,330
16,1923,1326,5104
16,1730,1323,945
17,1076,1293,221
17,973,1309,231
17,1081,1311,312
17,1086,1329,300
17,1056,1352,330
17,987,1358,342
17,1115,1362,357
17,1082,1365,285
17,1044,1370,432
17,954,1373,437
17,1029,1378,1015
17,1063,1380,351
17,985,1403,2668
17,1096,1393,192
17,1074,1425,1936
17,1040,1433,408
17,1019,1434,330
18,1819,1252,357
18,1713,1258,345
18,1807,1284,500
18,1729,1311,2325
18,1664,1324,270
18,1565,1331,231
18,1651,1351,780
18,1678,1346,304
18,1681,1378,459
18,1597,1397,323
18,1722,1405,312
18,1695,1420,170
19,120,1447,1462
19,315,1445,357
19,192,1450,308
19,143,1503,7154
19,254,1531,14280
20,499,1451,4277
20,598,1465,4732
20,528,1460,408
20,475,1487,1380
20,513,1507,440
20,543,1523,210
20,567,1521,152
20,482,1565,182
20,449,1566,435
21,730,1332,806
21,714,1354,285
21,683,1358,255
21,735,1363,414
21,755,1364,384
21,660,1367,462
21,763,1380,567
21,653,1389,285
21,715,1407,960
21,769,1404,552
21,647,1421,252
21,716,1443,992
21,784,1436,196
21,738,1465,4810
21,771,1471,182
21,673,1505,462
22,495,1449,2145
22,314,1445,304
22,528,1460,432
22,475,1487,1380
22,395,1491,1440
22,513,1507,483
22,281,1532,462
22,392,1552,168
22,284,1564,832
22,483,1564,210
22,449,1566,493
22,418,1569,420
22,516,1580,418
23,1418,1562,16200
23,1438,1650,242
23,1494,1666,1188
23,1548,1684,1404
24,864,1540,812
24,839,1566,350
24,888,1582,525
24,861,1666,1150
24,832,1694,450
24,867,1716,432
24,894,1731,984
24,959,1768,196
24,831,1818,340
24,852,1838,850
25,392,1552,168
25,483,1564,210
25,449,1566,493
25,418,1569,420
25,437,1674,36504
25,645,1626,400
25,592,1636,1100
25,562,1661,399
25,638,1664,168
25,353,1675,864
25,571,1704,1176
25,675,1703,272
25,643,1720,476
25,679,1728,546
25,602,1747,2484
25,311,1783,437
25,665,1794,840
25,539,1821,11388
25,396,1792,289
25,378,1802,182
25,633,1809,204
25,317,1829,420
25,459,1870,1634
25,532,1898,14355
25,610,1911,3564
25,396,1928,320
25,566,1963,270
26,1711,1619,4977
26,1669,1639,918
26,1649,1658,210
26,1630,1719,7138
26,1807,1736,1320
27,731,1544,1870
27,790,1620,4899
27,690,1616,224
27,828,1685,2340
27,702,1676,1368
27,745,1735,378
27,798,1802,8010
27,764,1765,224
28,353,1674,891
28,276,1670,324
28,285,1722,1705
28,243,1738,156
28,254,1754,374
28,278,1780,1218
28,311,1784,456
28,396,1792,289
