# cellNo,xcoord,ycoord,size,noVacuoles
1071,145,87980,23
1369,137,43344,9
1584,148,39104,3
623,180,52514,7
795,278,73048,16
893,279,74426,16
1360,301,37720,8
302,386,21025,1
1453,401,18084,1
1079,460,75717,2
539,508,25921,1
1299,541,62475,11
671,578,34726,1
916,624,57354,13
1903,637,44720,11
1159,775,56785,16
1658,867,50290,9
720,850,64998,12
1465,956,18348,3
1259,940,43166,6
1594,964,38544,6
624,1034,43316,8
1436,1060,28536,8
1741,1029,48576,4
453,1087,41768,10
1245,1061,29430,4
1038,1117,21560,1
1349,1087,14256,3
1711,1147,29756,5
1508,1157,55189,10
668,1153,31185,5
1250,1182,40044,8
531,1233,50544,11
1660,1274,64464,15
561,1547,23166,1
1728,1601,44726,6
883,1625,94392,7
115,1744,22113,5
1493,1793,25564,4
953,91,20736,5
1826,157,50995,8
1431,142,50500,8
1592,152,12992,1
544,174,43318,3
665,187,18144,4
999,260,49880,10
1219,277,74851,25
763,257,37611,5
507,342,75558,7
962,342,16851,3
1861,380,47460,12
1464,477,14637,2
1681,589,23364,1
985,627,47200,10
728,584,44732,16
291,625,24327,4
1206,716,40727,6
1730,658,25650,6
1452,668,22197,4
585,688,27334,1
1321,723,46618,11
219,690,20460,8
1859,684,40582,9
912,746,62008,10
1580,766,36795,2
1002,869,28182,3
771,962,27118,3
190,981,45924,6
403,926,50303,6
1514,988,55930,6
391,1040,46587,10
1099,1039,27221,6
674,1058,22005,4
1173,1179,40832,9
757,1195,14884,2
1683,1233,25754,4
303,1303,20148,4
1566,1317,25428,5
846,1305,23667,2
1385,1320,26373,7
549,1376,63240,19
939,1434,97263,22
236,1446,28557,4
1462,1551,24320,4
1136,1585,25245,4
393,1588,32800,5
1770,1613,36099,1
977,1794,27853,5
482,1863,46647,2
1115,1822,30227,3
1741,1848,45576,8
821,1868,16836,3
676,136,32234,2
1671,278,37247,4
1421,316,41745,8
375,261,36860,7
217,440,26108,3
737,529,51957,8
499,535,53460,16
1600,517,57603,3
1801,479,74576,18
224,543,34419,8
535,666,48840,12
1446,630,33884,9
1845,667,21546,1
360,736,51525,13
1707,688,46690,13
1374,797,52640,9
1546,748,50267,15
634,732,98728,23
1661,830,56712,16
487,848,54466,12
284,922,68026,17
632,995,47690,5
408,1061,57334,10
172,1151,65340,16
677,1149,33165,2
294,1199,65007,9
1827,1243,42140,9
482,1251,51700,6
1200,1334,61380,15
931,1333,21114,2
1638,1393,38646,10
428,1411,30294,5
305,1430,113096,16
1041,1460,49203,16
1776,1492,54531,10
1937,1521,47077,13
439,1533,7832,1
1637,1646,45936,13
1365,1630,98571,8
1772,1695,51983,13
483,1697,31536,2
