# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/E - 03(fld 06 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,1234,739,192
0,1254,763,825
0,1215,779,294
1,1655,955,238
1,1631,987,1932
1,1622,1067,180
1,1627,1101,460
1,1688,1138,1368
1,1597,1140,780
1,1552,1153,1353
1,1441,1174,210
1,1559,1198,3328
1,1591,1201,182
1,1466,1222,672
1,1565,1235,294
1,1441,1254,1935
1,1693,1256,306
1,1649,1274,320
2,1234,739,192
2,1254,763,825
2,966,775,588
2,1215,779,294
2,1008,782,324
2,1041,806,780
2,1176,841,3712
2,1068,866,2236
2,829,886,7566
2,904,882,340
2,1001,886,476
2,1138,899,738
2,931,904,440
2,1046,906,285
2,1180,921,800
2,1139,925,798
2,1075,931,1426
2,827,944,800
2,1655,956,252
2,1625,987,2436
2,1553,987,350
2,1140,994,875
2,1511,986,510
2,1020,988,408
2,949,991,522
2,1368,1005,690
2,1272,1024,434
2,1194,1026,270
2,1469,1038,1564
2,1012,1039,1360
2,1372,1104,18419
2,1622,1067,180
2,1198,1097,468
2,1627,1102,480
2,1688,1137,1406
2,1597,1140,837
2,1321,1191,21875
2,1552,1154,1462
2,1454,1163,3300
2,1173,1158,2052
2,923,1171,256
2,1559,1198,3328
2,1059,1202,7011
2,1250,1193,357
2,1591,1201,182
2,1709,1208,442
2,1730,1205,342
2,974,1214,176
2,1466,1222,700
2,1566,1235,357
2,1226,1241,2001
2,1305,1250,2583
2,1441,1253,2070
2,1185,1247,2263
2,961,1241,204
2,1111,1280,8722
2,985,1247,204
2,1693,1256,306
2,1003,1299,5451
2,876,1288,3172
2,1509,1321,21890
2,1649,1274,320
2,924,1277,286
2,1326,1363,19317
2,836,1325,2832
2,1690,1304,400
2,1331,1306,300
2,1245,1313,220
2,1630,1315,390
2,927,1334,2772
2,1081,1344,672
2,1704,1339,225
2,1361,1347,228
2,1457,1386,3276
2,875,1367,400
2,833,1366,901
2,934,1365,405
2,972,1393,2124
2,1412,1387,324
2,1087,1439,4032
2,882,1415,1054
2,1401,1412,450
2,1007,1467,3648
2,943,1451,644
2,1347,1469,1974
2,1468,1452,192
2,1392,1470,1640
2,875,1481,2352
2,942,1471,330
2,1152,1474,256
2,1256,1498,475
2,916,1500,450
2,1052,1501,299
2,1448,1544,5850
2,1393,1510,247
2,983,1523,2754
2,1071,1524,528
2,1254,1537,1768
2,1365,1536,812
2,1208,1535,429
2,1172,1540,357
2,1116,1563,1645
2,1489,1546,286
2,1053,1556,1421
2,922,1559,2080
2,1413,1570,270
2,1150,1575,840
