# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/A - 11(fld 09 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,229,53,187
0,219,67,182
0,278,118,224
1,562,221,2048
1,505,206,272
2,661,110,1365
2,581,152,276
2,607,161,270
2,737,196,432
2,678,209,300
2,711,224,289
2,764,230,357
2,668,244,196
2,628,295,234
2,691,299,500
2,716,312,288
3,278,118,224
3,302,172,528
4,971,98,528
4,1026,113,752
4,935,121,323
4,917,141,483
4,955,154,1554
4,889,165,270
4,868,172,288
4,907,179,209
4,873,198,210
4,979,205,380
4,1006,226,870
4,1001,256,484
4,982,275,1760
4,877,299,208
4,850,317,285
4,1035,353,1833
6,1349,195,506
6,1375,208,224
6,1393,222,320
6,1362,239,456
6,1400,263,1776
6,1350,265,336
7,809,182,18724
7,889,165,306
7,867,172,304
7,737,196,432
7,874,198,224
7,765,227,486
7,711,224,289
7,690,298,391
7,877,299,208
7,716,312,272
7,850,317,300
7,870,318,169
7,738,338,475
7,822,361,192
7,879,405,234
7,819,418,432
7,786,418,168
7,881,424,143
8,560,292,3078
8,471,323,210
8,582,359,2288
8,538,375,238
8,617,397,156
8,518,414,342
8,493,416,182
9,1000,280,306
9,1122,310,600
9,1170,317,340
9,1035,353,2193
9,1123,350,260
10,1670,397,375
10,1673,436,1764
10,1710,428,221
10,1574,451,270
10,1547,451,280
11,1394,386,714
11,1341,385,220
11,1339,430,1360
11,1289,451,255
11,1338,475,665
11,1304,497,576
11,1353,505,1015
12,128,356,300
12,154,428,855
12,115,445,486
12,116,499,276
12,60,541,304
13,471,321,299
13,429,355,391
13,388,405,345
13,417,405,525
13,518,414,342
13,493,415,225
13,367,449,255
13,434,486,357
13,435,522,210
13,391,541,196
14,1549,469,225
14,1618,490,441
14,1691,489,210
14,1679,497,360
14,1545,513,288
14,1659,521,260
14,1488,533,200
14,1577,550,483
14,1644,550,224
14,1614,557,756
14,1692,586,1665
14,1601,594,252
14,1717,614,357
14,1723,649,598
14,1748,651,315
15,961,389,3872
15,879,405,208
15,887,455,546
15,984,466,315
15,877,507,320
15,992,512,348
15,867,555,1760
15,973,568,182
15,927,574,286
17,819,418,432
17,786,418,168
17,811,485,2772
17,840,534,234
18,1667,449,440
18,1574,451,270
18,1289,451,255
18,1469,463,1170
18,1547,451,280
18,886,456,594
18,1553,465,600
18,985,466,345
18,1338,475,684
18,812,485,2736
18,1358,500,1794
18,1618,491,462
18,1691,489,210
18,1680,496,400
18,1304,497,600
18,877,507,336
18,1545,513,288
18,992,511,390
18,1659,521,260
18,1487,532,242
18,1114,531,234
18,840,534,234
18,949,540,437
18,966,539,357
18,867,555,1804
18,1577,551,506
18,1644,550,224
18,1439,550,169
18,1613,557,777
18,1772,561,224
18,926,585,2450
18,973,568,195
18,1693,587,1824
18,1437,574,200
18,1457,581,630
18,877,594,532
18,1601,595,308
18,1436,605,324
18,946,616,264
18,1035,611,299
18,1716,614,391
18,1332,615,154
18,1375,628,770
18,1422,629,180
18,1067,636,255
18,1723,654,950
18,972,656,234
18,1748,651,315
18,1435,656,285
18,1052,677,3060
18,1418,670,144
18,1778,673,308
18,890,676,240
18,1744,685,182
18,1767,687,408
18,1163,694,425
18,1009,718,525
18,1303,727,336
18,1232,733,308
18,1205,807,204
18,1234,818,224
18,691,1052,437
18,1596,1055,168
18,1588,1076,182
19,1358,500,1794
19,1304,497,576
19,1488,532,210
19,1439,550,169
19,1437,574,200
19,1457,580,580
19,1436,603,252
19,1332,615,154
19,1375,628,770
19,1422,629,180
19,1435,656,285
19,1418,670,144
20,331,641,748
20,288,651,440
21,1772,560,210
21,1796,565,440
21,1692,583,648
21,1820,589,340
21,1717,615,336
21,1847,624,208
21,1723,654,950
21,1748,651,300
21,1792,676,1416
21,1744,685,182
21,1768,687,374
22,927,596,1092
22,877,594,486
22,946,616,264
22,890,676,240
23,973,568,182
23,1035,611,286
23,1067,636,255
23,972,653,189
23,1052,678,2950
23,1009,717,400
24,227,648,840
24,163,677,390
24,185,701,247
24,192,741,240
25,1232,733,308
25,1205,807,204
25,1234,818,224
26,265,837,234
26,300,848,360
26,201,858,273
26,184,874,378
26,319,895,153
26,296,896,300
26,310,926,768
26,184,928,221
26,269,938,169
26,220,952,405
26,159,958,286
26,280,963,140
28,310,925,800
28,269,938,182
28,280,963,140
28,262,1009,702
28,261,1056,400
29,253,973,210
29,182,982,266
29,262,1013,1932
29,111,1008,806
29,193,1015,280
29,166,1034,462
29,261,1056,400
29,148,1068,525
29,217,1068,156
29,236,1099,400
29,159,1107,1152
30,613,1032,360
30,691,1052,437
30,438,1069,216
30,688,1091,1131
30,427,1085,264
30,662,1113,680
30,594,1124,560
30,695,1131,247
30,635,1162,546
30,676,1194,192
30,679,1212,272
30,681,1237,525
31,1596,1055,168
31,1588,1076,182
31,1556,1094,256
31,1548,1111,154
31,1607,1113,288
31,1546,1155,299
31,1529,1170,270
31,1514,1181,550
31,1571,1181,204
31,1527,1236,306
32,691,1052,437
32,689,1092,874
32,767,1094,357
33,695,1131,247
33,705,1163,374
33,676,1194,192
33,722,1202,272
33,679,1212,272
33,703,1222,352
33,681,1237,525
34,1018,1283,182
34,950,1304,1692
34,998,1289,150
34,1020,1301,874
34,1056,1324,195
34,942,1349,195
34,1025,1387,858
34,1007,1395,238
35,1881,1305,510
35,1842,1312,180
35,1957,1326,209
35,1946,1349,440
35,1796,1373,221
35,1906,1376,323
35,1892,1400,475
35,1975,1413,204
35,1890,1430,506
35,1856,1464,240
35,1890,1487,285
36,1138,1391,240
36,1218,1400,580
