# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/C - 04(fld 06 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,281,200,308
0,301,237,390
0,300,264,144
0,225,302,399
0,271,304,308
0,296,315,253
1,1056,225,1032
1,1083,248,350
1,978,270,1980
1,1006,251,150
1,1061,272,322
1,973,316,176
1,994,353,209
1,1029,366,513
1,1070,371,238
1,992,406,224
2,300,238,264
2,406,280,5688
2,381,310,1085
2,297,315,200
2,406,356,532
2,356,355,180
3,1377,342,486
3,1344,371,306
4,1169,191,980
4,1188,244,380
4,1237,248,513
4,1208,269,784
4,1169,274,624
4,1231,268,210
4,1130,289,530
4,1230,284,272
4,1248,298,192
4,1198,313,735
4,1151,385,256
5,978,270,2280
5,916,265,1040
5,884,272,374
5,948,300,806
5,906,300,300
5,865,296,198
5,973,316,165
5,935,325,285
5,994,353,209
5,851,353,208
5,898,351,176
5,875,379,260
5,869,402,238
5,991,406,208
5,893,438,567
5,965,485,208
6,1378,342,360
6,1453,353,210
6,1472,364,396
6,1502,385,165
6,1447,404,360
6,1485,430,702
6,1461,434,336
6,1425,439,608
6,1396,439,180
7,223,388,216
7,111,387,165
7,175,396,132
7,198,410,576
7,131,407,247
7,162,420,280
7,190,439,836
7,132,450,567
7,248,475,228
7,135,480,280
7,118,518,252
7,260,525,198
7,124,544,270
7,201,550,630
7,239,565,320
7,136,570,624
7,213,571,425
7,180,572,459
8,1249,466,484
8,1324,500,952
8,1198,500,210
8,1287,552,2352
8,1246,578,182
8,1276,577,231
8,1264,590,308
8,1280,638,3540
8,1336,648,552
8,1233,644,286
9,1104,528,252
9,1034,548,247
9,1068,568,315
9,1023,575,380
9,1093,585,306
9,981,590,252
9,965,611,399
9,1070,622,315
9,962,634,437
9,1015,706,1254
9,1063,713,1890
9,986,723,169
10,1418,567,525
10,1420,596,216
10,1337,647,756
11,1418,567,525
11,1630,579,494
11,1276,577,264
11,1263,590,322
11,1420,596,216
11,1280,638,3540
11,1337,647,756
11,1342,743,16536
11,1794,700,210
11,1764,715,338
11,1543,724,352
11,1443,726,308
11,1827,737,928
11,1262,738,550
11,1602,735,399
11,1676,738,169
11,1438,747,195
11,1616,764,165
12,642,629,312
12,694,640,864
12,718,635,144
12,723,666,540
12,573,705,441
12,579,735,868
12,645,745,486
12,552,787,728
12,738,805,180
13,1290,624,170
13,1175,642,288
13,1233,644,322
13,1226,676,918
13,1211,684,588
13,1244,699,208
13,1262,738,528
13,1248,760,288
13,1277,779,644
13,1208,785,420
14,723,666,513
14,864,688,2052
14,906,724,1995
14,863,777,342
14,900,792,756
14,779,788,272
14,740,805,418
15,1542,724,270
15,1603,738,238
15,1594,810,2880
15,1517,832,1517
15,1555,834,460
15,1600,856,253
15,1460,874,750
15,1555,874,176
15,1539,888,450
15,1503,904,420
16,1795,700,220
16,1764,715,338
16,1826,736,1023
16,1734,727,208
16,1676,739,182
16,1808,815,234
16,1792,836,195
16,1774,850,195
16,1662,876,300
17,1441,843,1058
17,1378,851,306
17,1326,860,1120
17,1408,877,350
17,1430,917,940
17,1393,939,264
18,162,712,176
18,213,772,3200
18,152,795,2288
18,113,1010,360
18,134,1023,195
18,110,1033,275
19,812,809,1240
19,840,806,608
19,741,805,936
19,864,828,240
19,922,835,462
19,725,849,1020
19,788,848,960
19,972,845,414
19,753,850,280
19,759,870,828
19,722,870,253
19,953,879,300
