# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/C - 02(fld 06 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
1,140,100,1333
1,93,116,169
1,93,134,357
1,139,154,1296
1,86,150,304
1,186,164,459
1,162,200,182
1,154,224,180
2,975,191,1148
2,978,216,484
2,997,211,182
2,1001,227,180
2,948,233,168
3,1845,45,154
3,1948,54,484
3,2000,59,304
3,1826,71,528
3,2009,85,588
3,1966,145,210
4,1151,188,1258
4,1203,202,304
4,1159,234,168
4,1139,241,380
5,978,216,484
5,997,211,169
5,1001,227,180
5,948,233,168
5,1159,234,168
5,1139,240,361
5,1085,274,1118
5,1128,308,1155
5,1139,340,1188
6,1953,304,5796
6,1853,293,221
6,1825,300,276
6,1835,339,1739
7,1666,358,320
7,1676,379,520
7,1707,385,506
7,1569,395,238
7,1663,406,846
7,1672,450,3337
7,1644,423,266
7,1708,431,196
7,1619,440,1020
7,1558,466,1974
8,1128,308,1155
8,1140,339,1292
8,1172,346,260
8,1205,356,169
9,1665,358,304
9,1676,378,494
9,1707,385,506
9,1569,395,224
9,1663,404,705
9,1727,417,375
9,1666,457,5568
9,1619,440,1020
9,1708,431,182
9,1573,483,8075
9,1757,450,180
9,1674,537,240
9,1696,535,184
9,1602,544,150
10,284,497,576
10,331,578,567
10,362,602,900
10,391,632,736
10,279,642,352
10,293,679,500
10,335,718,350
10,485,758,315
10,390,804,710
11,279,642,252
11,258,657,198
11,294,679,456
11,334,718,273
11,181,869,44544
11,606,826,5538
11,374,804,256
11,542,851,294
11,423,860,143
11,411,873,720
11,106,884,225
11,588,926,7735
11,88,911,992
11,309,915,180
11,424,942,2107
11,347,947,500
11,539,951,238
11,79,958,504
12,1221,775,1170
12,1265,787,462
12,1293,799,399
12,1194,798,169
12,1330,810,418
12,1322,832,2183
12,1246,843,270
12,1302,897,3024
12,1207,908,1681
12,1253,918,1020
12,1234,930,160
13,424,860,156
13,411,873,744
13,309,915,180
13,424,941,2244
13,347,947,500
13,321,987,392
14,605,826,5250
14,675,876,726
14,588,899,870
14,731,893,165
14,720,952,285
14,616,960,437
14,664,963,342
15,591,895,272
15,424,942,2058
15,540,951,252
15,555,962,128
15,559,982,570
15,421,990,156
15,548,999,240
15,437,1003,192
15,533,1016,224
15,443,1023,702
15,465,1037,440
15,422,1050,182
16,1904,960,525
16,1803,979,1216
16,1844,975,154
16,1983,984,800
16,1799,1006,324
16,1819,1020,957
16,1953,1025,728
16,1906,1053,814
16,1849,1055,304
16,1946,1119,1330
17,559,982,630
17,548,999,240
17,678,1056,196
17,673,1073,289
17,626,1092,187
18,378,992,3150
18,321,987,450
18,436,1002,165
18,443,1023,650
18,410,1038,1444
18,461,1036,266
18,430,1082,660
18,393,1110,576
19,214,1115,198
19,288,1151,1107
19,176,1152,323
19,243,1173,308
19,232,1205,1480
19,287,1204,1360
19,203,1222,2184
19,172,1208,289
20,546,1177,420
20,645,1227,2300
20,553,1251,4970
20,560,1302,456
21,209,1231,165
21,347,1290,1440
21,311,1314,420
21,324,1341,198
21,367,1351,252
22,254,1445,336
22,227,1463,224
22,199,1479,224
22,211,1515,1710
22,259,1522,2600
22,197,1536,285
22,300,1563,1794
23,1620,1682,570
23,1597,1693,208
23,1653,1702,580
23,1559,1707,240
23,1673,1716,210
23,1683,1762,924
23,1613,1765,210
23,1567,1781,2009
23,1668,1792,1404
23,1613,1793,405
23,1639,1796,210
23,1607,1813,729
23,1635,1815,304
24,845,1727,150
24,832,1768,187
24,867,1773,190
24,898,1801,340
25,561,1741,442
25,473,1769,1120
25,579,1767,437
25,465,1804,1786
25,659,1799,208
25,565,1834,1088
25,510,1847,2555
25,445,1849,210
25,477,1861,204
26,657,1906,595
