# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/D - 07(fld 12 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,945,146,238
0,929,172,231
0,965,210,720
0,895,206,247
0,904,223,256
0,933,220,198
0,1002,247,1634
3,747,145,182
4,709,187,336
5,752,275,578
5,714,278,374
6,1946,144,546
6,1867,156,225
6,1864,182,204
6,1898,200,1710
6,1834,201,532
6,1806,208,255
6,1858,227,450
6,1916,230,306
6,1948,248,1394
6,1794,247,324
6,1927,275,288
6,1804,284,120
6,1901,298,210
6,1794,300,154
6,1889,310,180
7,1198,74,420
8,443,201,340
8,432,223,1131
8,495,224,378
8,378,238,238
8,461,251,832
9,1549,288,378
9,1462,314,224
10,884,279,342
10,830,312,221
10,865,338,504
11,667,299,1026
11,576,313,299
11,683,357,704
11,564,379,1634
11,679,402,168
12,1167,216,1102
12,1230,259,289
12,1178,290,3328
12,1102,370,816
13,1794,300,154
13,1730,346,504
13,1616,399,154
13,1619,436,1804
13,1732,443,2548
14,929,172,231
14,833,212,1025
14,965,210,720
14,895,206,247
14,904,223,256
14,933,220,198
14,1001,246,1326
14,884,279,342
14,830,312,221
14,865,338,504
14,889,416,1920
15,95,348,572
15,175,342,377
15,139,345,143
15,119,352,165
15,76,366,256
15,127,393,551
15,75,416,672
15,134,429,644
15,110,434,240
15,53,460,540
16,683,356,682
16,773,347,144
16,793,395,420
16,683,409,875
16,782,435,480
16,744,451,990
17,1804,401,506
18,489,430,224
18,488,445,210
18,540,485,240
19,213,382,264
19,225,403,713
20,362,504,255
21,1952,478,320
21,1953,522,1190
22,544,377,8514
22,683,357,704
22,684,409,910
22,633,426,345
22,489,430,208
22,488,445,195
22,542,480,638
22,636,514,3504
22,615,560,675
23,1752,550,216
24,686,418,210
24,782,435,528
24,744,451,1056
24,739,507,7719
24,745,677,270
24,688,760,814
24,842,769,153
25,532,621,192
26,1664,495,1728
26,1605,510,224
27,1188,544,209
27,1085,588,414
27,1316,759,154
27,1119,826,3525
27,961,816,1496
28,1851,625,247
29,443,509,1715
29,276,494,306
29,362,504,255
29,331,552,1088
29,344,626,14319
29,528,671,256
29,408,692,612
29,326,755,5060
30,1572,722,1564
30,1462,731,462
30,1502,760,1482
30,1543,785,972
31,1746,732,560
31,1801,733,195
31,1772,750,299
31,1744,752,264
31,1799,764,460
32,535,669,1200
32,745,677,270
32,688,759,897
32,719,832,812
33,1315,759,182
34,688,759,897
34,719,832,784
35,1661,494,220
35,1605,510,224
35,1752,550,216
35,1674,638,26496
35,1572,722,1645
35,1462,730,483
35,1746,732,560
35,1503,760,1520
35,1772,750,299
35,1584,752,180
35,1744,752,242
35,1543,785,999
36,1120,826,3404
38,840,769,242
39,1931,777,323
39,1895,786,1178
39,1961,823,759
39,1835,872,1634
39,1960,864,468
39,1972,893,196
39,1841,921,300
40,1320,887,345
40,1720,918,255
40,1316,920,182
40,1531,954,280
40,1484,957,240
40,1522,970,540
40,1543,991,391
40,1503,992,280
40,1378,995,225
40,1419,1013,350
40,1370,1028,160
40,1486,1062,4560
40,1383,1064,494
40,1603,1067,630
40,1534,1088,198
41,1120,826,3404
41,1116,930,168
42,1320,887,345
42,1259,902,744
42,1316,920,182
42,1293,927,210
43,719,832,784
43,772,908,196
43,431,913,182
43,447,926,266
43,480,927,221
43,520,1016,3444
43,777,1013,992
43,429,1006,304
43,461,1006,288
43,490,1010,323
43,799,1044,418
43,782,1066,500
43,478,1073,210
43,436,1079,744
43,727,1081,416
43,494,1084,294
43,817,1176,220
43,640,1249,812
43,826,1246,588
43,824,1266,336
44,1152,904,9540
44,1177,989,312
44,1181,1016,6405
44,1177,1040,272
45,1531,954,280
45,1484,957,240
45,1522,970,540
45,1543,991,391
45,1503,992,280
46,431,914,144
46,352,936,952
46,448,925,234
46,480,927,192
46,340,989,2146
46,520,1015,3321
46,425,999,1260
46,390,1006,221
46,490,1010,306
46,424,1071,4131
46,477,1073,165
46,495,1084,280
48,1720,918,195
48,1832,928,1305
48,1889,985,4209
48,1819,961,264
48,1776,1010,1000
48,1861,1018,816
49,1274,979,806
49,1289,1067,420
50,777,1013,992
50,799,1044,418
50,782,1066,480
50,727,1081,384
51,1484,957,240
51,1379,993,352
51,1419,1013,350
51,1370,1028,160
51,1383,1064,494
51,1396,1114,465
52,344,1003,506
52,376,1052,143
52,209,1059,208
53,937,911,1104
53,772,908,196
53,777,1013,992
53,799,1044,418
53,782,1066,520
53,1040,1103,208
53,816,1179,368
53,881,1203,286
54,1177,1040,272
54,1121,1071,918
54,1145,1069,255
54,1213,1082,324
54,1192,1130,728
54,1112,1170,256
55,1492,1056,686
55,1603,1067,630
55,1534,1088,198
55,1646,1117,210
55,1509,1153,224
56,1289,1067,399
56,1380,1067,209
56,1277,1121,5632
56,1350,1135,390
57,1798,1101,252
57,1646,1114,294
57,1835,1131,510
57,1922,1207,629
58,111,1159,2772
58,216,1189,1288
58,155,1184,210
58,246,1200,143
58,116,1215,325
58,242,1224,780
58,113,1232,405
58,182,1243,168
59,1287,1227,264
60,816,1179,368
60,881,1203,286
60,815,1270,4189
60,829,1328,168
61,1485,1060,4275
61,1382,1064,475
61,1603,1067,630
61,1534,1088,198
61,1403,1115,238
61,1645,1117,195
61,1380,1143,3762
61,1509,1153,210
61,1431,1267,16544
61,1608,1244,240
61,1589,1263,784
61,1609,1328,768
61,1460,1334,1200
61,1385,1337,210
61,1504,1348,702
61,1630,1346,528
61,1358,1352,528
61,1423,1369,792
61,1530,1377,168
61,1493,1397,1840
61,1442,1447,2300
61,1476,1439,308
61,1491,1459,504
61,1450,1502,352
62,1165,1223,5175
62,1287,1227,264
62,1142,1326,3362
62,1288,1325,336
62,1022,1344,294
62,1078,1348,513
63,458,1278,182
63,516,1348,989
63,431,1352,270
63,511,1370,255
64,1608,1243,225
64,1589,1263,784
64,1609,1328,736
64,1657,1343,224
64,1630,1346,528
65,1800,1327,1170
66,1460,1334,1200
66,1385,1336,195
66,1504,1348,675
66,1358,1352,528
66,1423,1369,792
66,1530,1377,154
66,1493,1397,1840
66,1442,1447,2254
66,1491,1459,504
67,881,1203,286
67,640,1247,1054
67,815,1270,4189
67,829,1328,180
67,1023,1344,408
67,970,1382,270
67,980,1405,325
67,940,1439,816
67,816,1462,690
67,866,1462,315
67,1001,1503,228
70,816,1462,690
70,866,1462,350
71,1001,1503,228
73,1493,1401,1247
73,1442,1447,2346
73,1476,1439,308
73,1104,1455,1600
73,1264,1486,9483
73,1491,1459,504
73,1388,1486,336
73,1452,1503,693
73,1165,1502,294
73,1443,1569,240
73,1381,1596,1480
73,1472,1599,380
73,1520,1613,825
77,922,1554,272
77,863,1590,1638
77,830,1628,352
77,930,1648,4410
77,841,1654,260
77,837,1679,153
77,915,1689,198
78,830,1628,336
78,804,1657,840
78,840,1654,247
78,837,1679,144
80,521,1665,168
80,575,1685,273
81,1613,1570,228
81,1552,1590,1363
81,1620,1589,208
81,1706,1604,1536
81,1521,1615,1085
81,1613,1608,176
81,1559,1612,432
81,1640,1639,696
81,1604,1663,1334
83,1045,1564,3268
83,1150,1572,170
86,1335,1575,187
86,1381,1596,1517
86,1328,1606,180
86,1323,1657,702
86,1361,1655,168
86,1383,1664,475
86,1078,1678,225
86,1378,1688,168
86,1067,1720,726
86,1108,1732,612
86,1351,1814,1240
86,1165,1818,320
86,1393,1833,480
86,1389,1851,504
86,1358,1871,912
86,1235,1879,216
86,1217,1889,323
87,1858,1782,315
87,1956,1807,682
87,1878,1815,609
87,1920,1828,204
87,1937,1827,273
87,1887,1839,289
87,1904,1854,289
87,1928,1854,240
88,1816,1704,342
88,1804,1752,918
88,1857,1782,399
88,1849,1905,220
89,410,1819,3355
89,495,1799,210
89,533,1826,224
89,507,1857,589
89,564,1907,6396
89,432,1882,952
90,1557,1773,1764
90,1633,1779,2170
90,1520,1812,240
90,1664,1834,700
90,1578,1831,238
90,1637,1829,189
90,1572,1858,567
90,1578,1883,322
90,1537,1904,2736
90,1532,1941,216
91,1849,1905,220
92,1443,1570,256
92,1335,1575,187
92,1381,1596,1517
92,1549,1594,522
92,1471,1600,420
92,1521,1616,1050
92,1559,1612,270
92,1476,1630,570
92,1323,1657,702
92,1361,1655,168
92,1383,1664,475
92,1378,1688,168
92,1351,1814,1240
92,1492,1837,1767
92,1393,1833,480
92,1389,1851,504
92,1358,1871,912
92,1491,1953,308
92,1509,1952,234
92,1522,1975,1023
