# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/A - 04(fld 03 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,1253,348,504
0,1118,357,738
0,1260,383,1400
0,1222,375,169
0,1130,379,192
0,1245,401,360
0,1175,399,312
0,1256,412,336
0,1210,420,682
1,101,418,234
1,200,428,288
2,713,395,1122
2,642,429,325
2,665,451,950
2,810,472,210
2,793,475,180
2,810,488,234
2,819,509,462
3,1714,413,2925
3,1774,432,288
3,1692,460,567
3,1794,491,342
3,1601,499,224
3,1689,497,360
3,1779,502,527
3,1610,523,1254
3,1795,527,190
3,1654,533,308
3,1645,554,600
3,1607,550,294
3,1662,578,1040
3,1777,566,210
3,1702,588,272
3,1725,591,506
4,363,385,320
4,299,409,1705
4,369,401,182
4,402,404,204
4,332,424,192
4,426,430,176
4,405,453,620
4,407,529,806
5,1244,401,380
5,1175,399,325
5,1256,411,357
5,1210,420,682
5,830,454,550
5,862,469,528
5,889,498,442
5,819,509,462
5,865,510,255
5,930,517,598
5,886,532,513
5,1020,531,126
5,1028,548,176
5,986,573,308
5,841,715,154
6,147,603,357
6,206,627,143
6,216,682,1160
6,111,681,368
6,185,684,437
6,145,703,180
6,191,717,224
6,134,717,180
6,155,725,208
7,1607,550,294
7,1645,556,528
7,1662,578,1040
7,1702,588,272
7,1505,619,320
7,1469,621,196
7,1663,625,272
7,1674,660,2225
7,1495,657,285
7,1563,677,286
7,1612,703,324
7,1576,705,340
7,1686,709,308
7,1532,708,224
7,1504,757,4260
7,1463,737,256
7,1679,751,444
7,1539,762,620
7,1625,768,154
7,1455,782,342
7,1530,799,182
8,618,555,391
8,617,632,399
8,652,630,204
8,639,644,264
8,722,694,312
8,703,727,416
8,669,727,150
9,1777,566,224
9,1716,593,1488
9,1782,626,468
9,1686,709,336
9,1734,731,1092
9,1774,728,228
9,1854,747,1064
9,1679,751,532
9,1759,754,2067
10,1974,621,247
10,2029,624,192
10,1903,659,1560
10,1982,651,220
10,1942,669,756
11,785,690,930
11,811,691,154
11,801,715,224
11,840,715,130
11,730,723,270
11,807,761,154
11,728,783,1188
11,763,792,540
11,803,804,374
12,793,939,570
12,792,992,468
12,749,1007,728
13,1225,890,1134
13,1270,886,153
13,1337,915,336
13,1275,945,736
13,1372,947,442
13,1336,955,380
13,1293,975,1548
13,1365,997,1452
13,1397,1004,920
13,1212,1008,400
13,1315,1012,396
14,1880,858,3053
14,1958,880,560
14,1832,892,1786
14,1952,926,3186
14,1904,907,256
14,1836,924,240
14,1871,934,210
14,1833,956,736
15,1692,942,196
15,1720,949,625
15,1667,978,336
15,1637,1039,306
15,1684,1071,221
16,1101,989,234
16,1067,1001,240
16,1015,1010,300
16,1087,1023,315
16,1110,1108,270
17,1225,1020,666
17,1269,1024,418
17,1292,1029,247
17,1399,1032,210
17,1307,1045,459
17,1279,1059,1025
17,1388,1055,300
17,1356,1058,357
17,1332,1088,294
17,1251,1110,253
17,1278,1125,216
17,1221,1140,275
18,748,1007,675
18,845,1030,238
18,771,1054,192
18,770,1076,696
18,724,1100,750
18,671,1156,135
19,1908,1080,315
19,1865,1105,2214
19,1913,1095,828
19,1954,1108,352
19,1922,1104,192
19,1954,1132,814
19,1831,1158,594
19,1960,1151,204
19,1930,1165,247
19,1975,1164,160
19,1955,1173,360
19,1828,1188,156
19,1961,1202,560
19,1837,1211,280
19,1894,1222,132
19,1921,1242,912
19,1868,1242,156
19,1892,1245,330
20,992,1142,825
20,1049,1158,180
21,992,1142,682
21,929,1202,252
22,1278,1125,247
22,1221,1140,300
22,1238,1194,264
22,1249,1251,224
22,1351,1280,1372
22,1189,1296,375
22,1200,1319,522
23,624,1150,1271
23,673,1157,322
23,612,1174,272
23,631,1191,224
23,585,1193,306
23,657,1199,300
23,705,1200,165
23,587,1217,216
23,699,1234,528
23,586,1239,609
23,595,1259,176
23,630,1285,285
24,1067,1000,187
24,1269,1016,1276
24,1221,1015,1760
24,1315,1012,396
24,1016,1010,312
24,1087,1024,330
24,844,1029,195
24,1292,1029,247
24,1307,1045,459
24,1279,1059,1025
24,771,1054,192
24,1134,1116,11610
24,770,1076,696
24,1251,1110,253
24,1278,1125,228
24,992,1142,825
24,1221,1140,275
24,1049,1158,180
24,1238,1194,264
24,1145,1201,800
24,929,1202,252
24,1249,1251,224
24,1035,1292,672
24,1188,1296,252
24,1201,1319,448
25,1249,1251,224
25,1189,1296,375
25,1200,1319,522
26,1525,1218,187
26,1473,1238,858
26,1351,1282,1118
26,1590,1294,336
26,1556,1294,575
26,1520,1299,528
26,1431,1312,294
26,1584,1313,168
26,1485,1327,209
26,1463,1339,368
26,1545,1342,483
26,1628,1355,180
26,1413,1359,320
26,1529,1378,210
26,1553,1380,364
26,1517,1390,414
26,1408,1396,285
26,1487,1400,256
26,1394,1412,304
26,1506,1415,460
26,1438,1428,1120
26,1401,1439,418
26,1413,1478,192
26,1513,1481,342
26,1437,1496,494
26,1486,1503,400
26,1545,1504,288
26,1585,1520,580
26,1470,1523,196
28,1906,1390,6840
28,1832,1430,1134
29,1830,1429,2832
29,1705,1418,357
29,1684,1440,285
29,1781,1522,550
29,1751,1530,378
29,1757,1541,253
30,1912,1411,2068
30,1967,1397,240
30,1966,1424,425
30,1834,1431,240
30,2006,1439,345
30,1907,1444,192
30,1880,1451,196
30,1929,1456,342
30,1855,1470,644
30,1974,1551,204
30,1965,1574,195
30,1942,1583,247
30,1885,1602,874
30,1926,1608,884
30,1900,1626,153
31,1094,1508,210
31,1004,1541,476
31,1097,1548,342
31,1076,1547,308
32,1231,1526,3744
32,1174,1554,273
32,1174,1581,448
32,1196,1594,306
32,1182,1612,525
33,590,1573,168
34,1001,1574,667
34,1029,1573,230
34,1122,1581,325
34,1096,1601,784
34,1111,1621,208
35,927,1688,897
35,988,1695,816
35,946,1710,405
35,1010,1715,264
35,940,1729,252
35,913,1732,266
35,922,1754,858
35,944,1745,208
35,962,1748,204
35,945,1779,506
36,1910,1732,486
36,1884,1738,182
36,1935,1754,1089
36,1837,1759,154
36,1944,1781,289
36,1836,1781,180
36,1914,1817,840
36,1874,1831,405
36,1889,1849,168
37,614,1818,924
37,594,1822,294
37,573,1841,672
37,607,1885,306
37,672,1926,342
37,608,1926,162
38,760,1828,170
38,839,1859,2255
38,798,1864,405
38,897,1905,242
38,853,1910,468
38,826,1913,204
38,807,1923,520
38,924,1930,192
38,881,1939,336
38,780,1942,288
38,845,1940,144
38,825,1955,143
38,808,1971,143
39,448,1889,540
39,484,1899,306
39,414,1905,196
